COMPLETE SPECTRUM OF HD22049.
Uncertainties below are 1sigma from the IUE rereductions,
and are adopted as 5% of F(lambda) for Burnashev and Kurucz
spectra.  Apologies if these are not your favorite units
but last go around I was asked to use W/cm2/nm instead of
my preferred W/cm2/um.  1 W/m2/nm = 100 erg/cm2/s/A.

Wavelen  F(lambda)  UncF(lam)
  um     W/m2/nm    W/m2/nm
0.11506  3.68e-016  8.74e-017
0.11523  5.42e-016  8.32e-017
0.11539  5.71e-016  7.74e-017
0.11556  5.78e-016  7.27e-017
0.11573  4.66e-016  6.75e-017
0.11590  3.54e-016  6.33e-017
0.11606  4.13e-016  5.75e-017
0.11623  3.63e-016  5.29e-017
0.11640  3.99e-016  5.10e-017
0.11657  3.38e-016  4.62e-017
0.11673  3.33e-016  4.30e-017
0.11690  3.74e-016  4.08e-017
0.11707  2.83e-016  3.75e-017
0.11724  5.33e-016  3.74e-017
0.11741  7.63e-016  3.66e-017
0.11757  7.75e-016  3.41e-017
0.11774  6.21e-016  3.08e-017
0.11791  3.85e-016  2.74e-017
0.11807  1.84e-016  2.50e-017
0.11824  1.61e-016  2.35e-017
0.11841  1.73e-016  2.24e-017
0.11858  2.56e-016  2.17e-017
0.11875  2.13e-016  2.07e-017
0.11891  2.47e-016  2.09e-017
0.11908  3.00e-016  2.06e-017
0.11925  3.38e-016  2.41e-017
0.11942  3.46e-016  2.67e-017
0.11958  3.20e-016  2.46e-017
0.11975  3.62e-016  2.12e-017
0.11992  4.51e-016  1.86e-017
0.12009  5.52e-016  1.76e-017
0.12026  7.59e-016  1.78e-017
0.12042  1.16e-015  1.97e-017
0.12059  1.55e-015  2.20e-017
0.12076  1.95e-015  3.21e-017
0.12092  3.42e-015  5.50e-017
0.12109  6.12e-015  9.46e-017
0.12126  1.01e-014  1.82e-016
0.12143  1.33e-014  2.67e-016
0.12160  1.28e-014  2.99e-016
0.12176  9.36e-015  1.35e-016
0.12193  5.64e-015  7.90e-017
0.12210  2.72e-015  4.40e-017
0.12227  1.37e-015  2.44e-017
0.12243  5.54e-016  1.36e-017
0.12260  3.34e-016  1.09e-017
0.12277  2.62e-016  1.03e-017
0.12294  2.07e-016  9.68e-018
0.12310  2.00e-016  9.44e-018
0.12327  2.34e-016  9.43e-018
0.12344  2.21e-016  9.29e-018
0.12361  2.67e-016  9.63e-018
0.12377  3.08e-016  9.66e-018
0.12394  3.00e-016  9.56e-018
0.12411  2.96e-016  9.57e-018
0.12428  2.41e-016  9.14e-018
0.12445  2.06e-016  8.64e-018
0.12461  1.55e-016  8.23e-018
0.12478  1.48e-016  8.14e-018
0.12495  1.53e-016  8.06e-018
0.12512  1.49e-016  7.92e-018
0.12528  1.34e-016  7.71e-018
0.12545  1.40e-016  7.60e-018
0.12562  1.29e-016  7.63e-018
0.12579  1.61e-016  7.75e-018
0.12595  1.84e-016  7.77e-018
0.12612  1.96e-016  7.92e-018
0.12629  2.14e-016  8.00e-018
0.12646  2.17e-016  7.99e-018
0.12663  1.91e-016  7.70e-018
0.12679  1.17e-016  7.18e-018
0.12696  8.84e-017  6.84e-018
0.12713  6.71e-017  6.65e-018
0.12729  7.26e-017  6.74e-018
0.12746  1.04e-016  6.85e-018
0.12763  1.11e-016  6.78e-018
0.12780  1.27e-016  6.85e-018
0.12797  1.13e-016  6.77e-018
0.12813  1.23e-016  6.81e-018
0.12830  1.00e-016  6.65e-018
0.12847  6.54e-017  6.47e-018
0.12864  7.02e-017  6.39e-018
0.12880  9.30e-017  6.47e-018
0.12897  1.18e-016  6.53e-018
0.12914  1.15e-016  6.53e-018
0.12931  1.17e-016  6.61e-018
0.12947  1.17e-016  6.53e-018
0.12964  1.43e-016  6.67e-018
0.12981  1.78e-016  6.90e-018
0.12998  3.21e-016  7.67e-018
0.13014  5.10e-016  8.92e-018
0.13031  7.70e-016  1.06e-017
0.13048  8.52e-016  1.18e-017
0.13065  6.91e-016  1.10e-017
0.13082  4.40e-016  9.05e-018
0.13098  2.52e-016  7.58e-018
0.13115  1.58e-016  6.97e-018
0.13132  9.23e-017  6.45e-018
0.13149  9.56e-017  6.34e-018
0.13165  9.84e-017  6.25e-018
0.13182  7.15e-017  6.18e-018
0.13199  7.93e-017  6.39e-018
0.13216  7.54e-017  6.24e-018
0.13232  7.49e-017  6.27e-018
0.13249  1.07e-016  6.25e-018
0.13266  1.33e-016  6.33e-018
0.13283  1.55e-016  6.53e-018
0.13299  2.28e-016  7.00e-018
0.13316  3.91e-016  8.35e-018
0.13333  7.53e-016  1.09e-017
0.13350  1.21e-015  1.48e-017
0.13366  9.72e-016  1.32e-017
0.13383  4.74e-016  9.45e-018
0.13400  2.04e-016  7.30e-018
0.13417  1.16e-016  6.32e-018
0.13434  1.10e-016  6.13e-018
0.13450  8.78e-017  6.05e-018
0.13467  8.69e-017  6.15e-018
0.13484  8.99e-017  6.33e-018
0.13501  1.02e-016  6.68e-018
0.13517  1.11e-016  6.49e-018
0.13534  1.54e-016  6.62e-018
0.13551  1.59e-016  6.68e-018
0.13568  1.70e-016  6.86e-018
0.13584  1.55e-016  6.70e-018
0.13601  1.51e-016  6.57e-018
0.13618  1.21e-016  6.44e-018
0.13635  1.01e-016  6.24e-018
0.13652  1.04e-016  6.21e-018
0.13668  9.41e-017  6.16e-018
0.13685  1.04e-016  6.23e-018
0.13702  1.00e-016  6.25e-018
0.13719  1.01e-016  6.45e-018
0.13735  1.00e-016  6.36e-018
0.13752  8.80e-017  6.35e-018
0.13769  8.73e-017  6.23e-018
