    n        flux[ergs/s/cm^2]     w-range[A]
      1  9.5671584E-04       2000.       2020.
      2  1.1719808E-03       2020.       2041.
      3  1.4233800E-03       2041.       2062.
      4  1.7185652E-03       2062.       2083.
      5  3.2980533E-03       2083.       2105.
      6  3.0700192E-03       2105.       2128.
      7  4.5246901E-03       2128.       2151.
      8  4.2959726E-03       2151.       2174.
      9  7.9989471E-03       2174.       2200.
     10  6.3729594E-03       2200.       2222.
     11  1.4263256E-02       2222.       2247.
     12  1.0069700E-02       2247.       2273.
     13  1.8657198E-02       2273.       2299.
     14  2.8088944E-02       2299.       2326.
     15  4.0940464E-02       2326.       2353.
     16  2.9972583E-02       2353.       2381.
 
      1  6.8002119E+00       2376.       2750.
      2  6.0652122E+00       2750.       2850.
      3  4.4768444E+01       2850.       3071.
      4  7.7178680E+01       3071.       3200.
      5  1.3687895E+02       3200.       3292.
      6  3.1231244E+02       3292.       3412.
      7  2.1094204E+03       3412.       3900.
      8  1.0278917E+04       3900.       4500.
      9  3.4217477E+04       4500.       5400.
     10  5.0558066E+03       5400.       5495.
     11  9.6030342E+03       5495.       5666.
     12  2.5094932E+04       5666.       6050.
     13  1.3024008E+04       6050.       6250.
     14  3.0207324E+04       6250.       6667.
     15  1.6232668E+04       6667.       6910.
     16  5.5790797E+04       6910.       7520.
     17  3.4150062E+04       7520.       7840.
     18  6.6650531E+04       7840.       8420.
     19  5.4416695E+04       8420.       8910.
     20  7.8465266E+04       8910.       9620.
     21  7.7468305E+04       9620.       10360.
     22  3.4795078E+04       10360.       10700.
     23  5.8769199E+04       10700.       11300.
     24  6.6161727E+04       11300.       12030.
     25  8.6801539E+04       12030.       13070.
     26  8.8156898E+04       13070.       14310.
     27  8.0820523E+04       14310.       15650.
     28  6.8135195E+04       15650.       16880.
     29  7.4942688E+04       16880.       18620.
     30  4.9563980E+04       18620.       20200.
     31  4.6896125E+04       20200.       22030.
     32  5.2073844E+04       22030.       24810.
     33  2.0459496E+04       24810.       26600.
     34  2.3576680E+04       26600.       29200.
     35  2.0420977E+04       29200.       32390.
     36  1.7078848E+04       32390.       35770.
     37  1.6562158E+04       35770.       40100.
     38  4.6983770E+03       40100.       41720.
