    n     flux[photons/s/cm^2]     w-range[A]
      1  1.2770555E+03       1754.       1770.
      2  1.8473134E+03       1770.       1786.
      3  3.3362517E+03       1786.       1802.
      4  3.6856672E+03       1802.       1818.
      5  5.2300747E+03       1818.       1835.
      6  4.7999185E+03       1835.       1852.
      7  7.1092905E+03       1852.       1869.
      8  5.1128711E+03       1869.       1887.
      9  1.6014193E+04       1887.       1905.
     10  1.3544735E+04       1905.       1923.
     11  4.7820207E+04       1923.       1942.
     12  4.7850340E+04       1942.       1961.
     13  6.5799523E+04       1961.       1980.
     14  1.0034978E+05       1980.       2000.
     15  1.3600500E+05       2000.       2020.
     16  1.7271166E+05       2020.       2041.
     17  1.9703952E+05       2041.       2062.
     18  2.9864681E+05       2062.       2083.
     19  1.3495018E+06       2083.       2105.
     20  8.7747856E+05       2105.       2128.
     21  1.6930461E+06       2128.       2151.
     22  1.3203272E+06       2151.       2174.
     23  5.1333460E+06       2174.       2200.
     24  1.9674442E+06       2200.       2222.
     25  1.1164644E+07       2222.       2247.
     26  3.8475198E+06       2247.       2273.
     27  2.1171362E+07       2273.       2299.
     28  2.7347190E+07       2299.       2326.
     29  5.8080932E+07       2326.       2353.
     30  2.0112126E+07       2353.       2381.
     31  1.4593854E+08       2381.       2410.
     32  2.9180448E+08       2410.       2439.
     33  4.6226470E+08       2439.       2469.
     34  2.4143376E+08       2469.       2500.
     35  3.7050346E+08       2500.       2532.
     36  1.0996756E+09       2532.       2564.
     37  6.5634528E+08       2564.       2597.
     38  6.7596672E+09       2597.       2632.
     39  5.5479096E+09       2632.       2667.
     40  1.0993403E+10       2667.       2703.
     41  1.0891019E+10       2703.       2740.
     42  1.6143502E+10       2740.       2778.
     43  1.3834760E+10       2778.       2817.
     44  1.1648039E+10       2817.       2857.
     45  5.0066133E+10       2857.       2899.
     46  9.2243968E+10       2899.       2941.
     47  8.7761920E+10       2941.       2985.
     48  7.5723948E+10       2985.       3030.
     49  1.2995137E+11       3030.       3077.
     50  1.8876021E+11       3077.       3125.
     51  6.6412701E+11       3125.       3175.
     52  1.0196620E+12       3175.       3225.
     53  1.0433631E+12       3225.       3275.
     54  2.8275067E+12       3275.       3325.
     55  2.7270536E+12       3325.       3375.
     56  2.3631293E+12       3375.       3425.
     57  6.6122390E+11       3425.       3450.
     58  5.6362942E+12       3450.       3550.
     59  5.5919945E+12       3550.       3650.
     60  9.6319109E+12       3650.       3750.
     61  1.4108107E+13       3750.       3850.
     62  1.0649670E+13       3850.       3950.
     63  3.0725621E+13       3950.       4050.
     64  4.8771191E+13       4050.       4150.
     65  2.6970625E+13       4150.       4250.
     66  3.9696948E+13       4250.       4350.
     67  7.0128251E+13       4350.       4450.
     68  8.7111986E+13       4450.       4550.
     69  1.0312976E+14       4550.       4650.
     70  1.0895455E+14       4650.       4750.
     71  9.5385419E+13       4750.       4850.
     72  1.5493734E+14       4850.       4950.
     73  1.0176452E+14       4950.       5050.
     74  1.1926153E+14       5050.       5150.
     75  1.2059106E+14       5150.       5250.
     76  2.0275116E+14       5250.       5350.
     77  2.5101722E+14       5350.       5450.
     78  2.1889836E+14       5450.       5550.
     79  2.2340256E+14       5550.       5650.
     80  2.8545148E+14       5650.       5750.
     81  3.2751330E+14       5750.       5850.
     82  1.7797600E+14       5850.       5950.
     83  3.0647447E+14       5950.       6050.
     84  3.8989562E+14       6050.       6150.
     85  2.1999275E+14       6150.       6250.
     86  2.8163258E+14       6250.       6350.
     87  3.3104685E+14       6350.       6450.
     88  4.1118752E+14       6450.       6550.
     89  4.8804965E+14       6550.       6650.
     90  3.5077031E+14       6650.       6750.
     91  3.2894816E+14       6750.       6850.
     92  3.3394830E+14       6850.       6950.
     93  5.6775763E+14       6950.       7050.
     94  4.1056867E+14       7050.       7150.
     95  4.3808656E+14       7150.       7250.
     96  7.6245756E+14       7250.       7350.
     97  9.8523376E+14       7350.       7450.
     98  1.0526080E+15       7450.       7550.
     99  9.7570463E+14       7550.       7650.
    100  7.6167118E+14       7650.       7750.
    101  8.5988097E+14       7750.       7850.
    102  9.7499093E+14       7850.       7950.
    103  1.1133642E+15       7950.       8050.
    104  1.2280087E+15       8050.       8150.
    105  1.2012954E+15       8150.       8250.
    106  1.2366067E+15       8250.       8350.
    107  1.1883766E+15       8350.       8450.
    108  1.1291988E+15       8450.       8550.
