    n        flux[ergs/s/cm^2]     w-range[A]
      1  1.0410021E-06       2000.       2020.
      2  1.3086673E-06       2020.       2041.
      3  1.4777079E-06       2041.       2062.
      4  2.2183915E-06       2062.       2083.
      5  9.9109702E-06       2083.       2105.
      6  6.3877801E-06       2105.       2128.
      7  1.2173062E-05       2128.       2151.
      8  9.3976723E-06       2151.       2174.
      9  3.6180900E-05       2174.       2200.
     10  1.3700942E-05       2200.       2222.
     11  7.7000543E-05       2222.       2247.
     12  2.6172711E-05       2247.       2273.
     13  1.4236518E-04       2273.       2299.
     14  1.8175259E-04       2299.       2326.
     15  3.8269677E-04       2326.       2353.
     16  1.3094723E-04       2353.       2381.
 
      1  2.2985315E-01       2376.       2750.
      2  2.1454020E-01       2750.       2850.
      3  2.1293509E+00       2850.       3071.
      4  6.4209971E+00       3071.       3200.
      5  1.2552320E+01       3200.       3292.
      6  2.8828064E+01       3292.       3412.
      7  1.6909958E+02       3412.       3900.
      8  9.6157404E+02       3900.       4500.
      9  3.6268088E+03       4500.       5400.
     10  5.9125238E+02       5400.       5495.
     11  1.0807974E+03       5495.       5666.
     12  2.7873132E+03       5666.       6050.
     13  1.5303807E+03       6050.       6250.
     14  3.7698848E+03       6250.       6667.
     15  1.8390776E+03       6667.       6910.
     16  8.5032373E+03       6910.       7520.
     17  5.6793301E+03       7520.       7840.
     18  1.2665295E+04       7840.       8420.
     19  1.0615014E+04       8420.       8910.
     20  1.6154293E+04       8910.       9620.
     21  1.6542115E+04       9620.       10360.
     22  7.7518706E+03       10360.       10700.
     23  1.3374520E+04       10700.       11300.
     24  1.5126714E+04       11300.       12030.
     25  2.0266119E+04       12030.       13070.
     26  1.9319100E+04       13070.       14310.
     27  1.7196582E+04       14310.       15650.
     28  1.5450987E+04       15650.       16880.
     29  1.6107663E+04       16880.       18620.
     30  1.0376445E+04       18620.       20200.
     31  1.0439639E+04       20200.       22030.
     32  1.2433268E+04       22030.       24810.
     33  4.6875708E+03       24810.       26600.
     34  5.3192144E+03       26600.       29200.
     35  4.7724531E+03       29200.       32390.
     36  4.2371704E+03       32390.       35770.
     37  4.3561567E+03       35770.       40100.
     38  1.2342620E+03       40100.       41720.
