   um     W/cm2/um
  0.056  4.204e-45
  0.057  3.223e-44
  0.058  2.424e-43
  0.059  1.719e-42
  0.060  1.142e-41
  0.061  7.137e-41
  0.062  4.199e-40
  0.063  2.339e-39
  0.064  1.236e-38
  0.065  6.205e-38
  0.066  2.968e-37
  0.067  1.355e-36
  0.068  5.919e-36
  0.069  2.477e-35
  0.070  9.953e-35
  0.071  3.845e-34
  0.072  1.431e-33
  0.073  5.137e-33
  0.074  1.781e-32
  0.075  5.975e-32
  0.076  1.941e-31
  0.077  6.113e-31
  0.078  1.869e-30
  0.079  5.556e-30
  0.080  1.606e-29
  0.081  4.523e-29
  0.082  1.241e-28
  0.083  3.325e-28
  0.084  8.692e-28
  0.085  2.214e-27
  0.086  5.551e-27
  0.087  1.334e-26
  0.088  3.244e-26
  0.089  7.648e-26
  0.090  1.760e-25
  0.091  3.984e-25
  0.092  2.015e-22
  0.093  9.142e-23
  0.094  1.072e-22
  0.095  8.092e-23
  0.096  2.997e-22
  0.097  3.688e-22
  0.098  2.548e-21
  0.099  2.507e-21
  0.100  3.940e-20
  0.101  6.594e-21
  0.102  1.529e-20
  0.103  1.120e-20
  0.104  3.472e-20
  0.105  2.701e-20
  0.106  1.877e-20
  0.107  1.195e-19
  0.108  2.550e-19
  0.109  3.166e-19
  0.110  1.395e-19
  0.111  6.554e-18
  0.112  8.176e-19
  0.113  8.444e-17
  0.114  4.311e-17
  0.115  4.060e-17
  0.116  3.569e-17
  0.117  4.371e-17
  0.118  1.351e-16
  0.119  5.414e-16
  0.120  1.061e-16
  0.121  4.915e-16
  0.122  2.707e-16
  0.123  5.682e-15
  0.124  1.484e-13
  0.125  1.451e-13
  0.126  1.843e-13
  0.127  8.252e-14
  0.128  2.941e-13
  0.129  6.145e-13
  0.130  5.064e-15
  0.131  9.301e-13
  0.132  9.280e-13
  0.133  1.338e-12
  0.134  1.869e-12
  0.135  2.170e-12
  0.136  3.553e-13
  0.137  1.708e-12
  0.138  9.152e-14
  0.139  1.142e-11
  0.140  1.215e-11
  0.141  6.615e-13
  0.142  7.170e-11
  0.143  4.995e-12
  0.144  5.502e-11
  0.145  1.708e-10
  0.146  2.049e-10
  0.147  8.660e-11
  0.148  3.424e-10
  0.149  3.496e-10
  0.150  5.100e-10
  0.151  5.788e-10
  0.152  4.825e-10
  0.153  4.350e-10
  0.154  4.291e-10
  0.155  3.577e-10
  0.156  6.005e-10
  0.157  6.231e-10
  0.158  8.801e-10
  0.159  5.502e-10
  0.160  1.602e-09
  0.161  2.881e-10
  0.162  1.441e-10
  0.163  1.246e-09
  0.164  1.032e-09
  0.165  4.503e-10
  0.166  7.270e-10
  0.167  5.279e-09
  0.168  7.543e-10
  0.169  8.781e-10
  0.170  1.056e-09
  0.171  2.049e-08
  0.172  8.082e-10
  0.173  1.917e-09
  0.174  1.576e-09
  0.175  1.488e-08
  0.176  4.301e-09
  0.177  5.303e-08
  0.178  7.474e-09
  0.179  9.237e-08
  0.180  2.294e-08
  0.181  7.971e-09
  0.182  3.754e-08
  0.183  1.602e-07
  0.184  3.181e-08
  0.185  8.138e-08
  0.186  1.728e-08
  0.187  1.505e-08
  0.188  1.903e-08
  0.189  8.064e-08
  0.190  7.304e-08
  0.191  1.341e-07
  0.192  1.797e-07
  0.193  7.595e-07
  0.194  7.439e-07
  0.195  1.152e-06
  0.196  1.260e-06
  0.197  1.519e-06
  0.198  1.789e-06
  0.199  1.204e-06
  0.200  2.146e-06
  0.200  7.772e-07
  0.200  1.665e-06
  0.201  1.616e-06
  0.201  1.631e-06
  0.201  1.515e-06
  0.201  2.574e-06
  0.201  1.576e-06
  0.202  1.246e-06
  0.202  2.435e-06
  0.202  2.815e-06
  0.202  3.315e-07
  0.202  2.106e-06
  0.203  1.993e-06
  0.203  2.714e-06
  0.203  2.121e-06
  0.203  2.790e-06
  0.203  1.111e-06
  0.204  3.270e-06
  0.204  1.451e-06
  0.204  2.670e-06
  0.204  2.092e-06
  0.204  1.736e-06
  0.205  2.802e-06
  0.205  1.540e-06
  0.205  1.860e-06
  0.205  3.017e-06
  0.205  1.522e-06
  0.206  2.790e-06
  0.206  4.088e-06
  0.206  3.052e-06
  0.206  2.868e-06
  0.206  2.841e-06
  0.207  3.308e-06
  0.207  4.032e-06
  0.207  4.014e-06
  0.207  6.117e-06
  0.207  2.358e-06
  0.208  7.826e-06
  0.208  3.323e-07
  0.208  1.263e-06
  0.208  4.452e-06
  0.208  1.290e-05
  0.209  8.660e-06
  0.209  5.604e-07
  0.209  3.577e-06
  0.209  1.677e-05
  0.209  1.174e-05
  0.210  6.848e-06
  0.210  9.762e-06
  0.210  3.225e-05
  0.210  8.680e-06
  0.210  1.537e-05
  0.211  3.323e-06
  0.211  5.030e-06
  0.211  1.293e-05
  0.211  5.815e-06
  0.211  2.726e-05
  0.212  6.465e-06
  0.212  6.738e-06
  0.212  1.246e-05
  0.212  4.321e-06
  0.212  2.141e-06
  0.213  1.065e-06
  0.213  4.232e-06
  0.213  9.366e-06
  0.213  1.431e-05
  0.213  4.792e-06
  0.214  6.391e-06
  0.214  1.764e-05
  0.214  4.716e-05
  0.214  3.720e-06
  0.214  1.925e-05
  0.215  4.155e-05
  0.215  9.152e-06
  0.215  1.724e-06
  0.215  4.938e-06
  0.215  1.998e-05
  0.216  9.898e-06
  0.216  1.801e-05
  0.216  4.164e-06
  0.216  5.194e-06
  0.216  2.165e-05
  0.217  3.569e-06
  0.217  3.218e-05
  0.217  8.601e-06
  0.217  1.654e-06
  0.217  6.769e-06
  0.218  1.498e-04
  0.218  3.137e-06
  0.218  1.491e-05
  0.218  2.603e-05
  0.218  5.477e-06
  0.219  4.291e-06
  0.219  1.822e-05
  0.219  6.376e-05
  0.219  3.159e-06
  0.219  7.220e-05
  0.220  2.353e-05
  0.220  2.627e-05
  0.220  1.447e-05
  0.220  2.201e-05
  0.220  1.408e-05
  0.221  1.873e-05
  0.221  2.975e-06
  0.221  4.462e-05
  0.221  1.508e-05
  0.221  5.053e-05
  0.222  3.010e-06
  0.222  1.591e-05
  0.222  5.617e-06
  0.222  3.024e-05
  0.222  5.656e-05
  0.223  4.493e-05
  0.223  5.477e-06
  0.223  4.514e-04
  0.223  2.446e-05
  0.223  2.374e-05
  0.224  3.195e-05
  0.224  2.527e-05
  0.224  7.422e-05
  0.224  7.701e-05
  0.224  1.658e-05
  0.225  2.288e-05
  0.225  3.677e-05
  0.225  6.089e-05
  0.225  9.540e-06
  0.225  2.363e-05
  0.226  2.283e-05
  0.226  3.512e-06
  0.226  3.959e-06
  0.226  5.643e-06
  0.226  1.275e-05
  0.227  1.826e-05
  0.227  1.004e-05
  0.227  1.537e-04
