  lambda (nm)  flux (W/m2/nm)       
        68.5   0.1454E-25
        69.5   0.6478E-25
        70.5   0.2141E-24
        71.6   0.6758E-24
        72.6   0.1921E-23
        73.5   0.5168E-23
        74.5   0.1394E-22
        75.5   0.3697E-22
        76.5   0.9547E-22
        77.5   0.2405E-21
        78.5   0.5914E-21
        79.5   0.1420E-20
        80.5   0.3338E-20
        81.5   0.7668E-20
        82.5   0.1726E-19
        83.5   0.3809E-19
        84.5   0.8247E-19
        85.5   0.1751E-18
        86.5   0.3652E-18
        87.5   0.7489E-18
        88.5   0.1510E-17
        89.5   0.2995E-17
        90.5   0.5846E-17
        91.5   0.1529E-16
        92.5   0.5045E-16
        93.5   0.7163E-16
        94.5   0.2344E-15
        95.5   0.2871E-15
        96.5   0.4534E-15
        97.5   0.1129E-14
        98.5   0.9116E-15
        99.5   0.2497E-14
       100.5   0.3785E-14
       101.5   0.4655E-14
       102.5   0.1161E-13
       103.5   0.1645E-13
       104.5   0.4322E-13
       105.5   0.5345E-13
       106.5   0.2125E-12
       107.5   0.2901E-12
       108.5   0.3101E-12
       109.5   0.5166E-12
       110.5   0.6740E-12
       111.5   0.1091E-11
       112.5   0.3241E-11
       113.5   0.4255E-11
       114.5   0.6645E-11
       115.5   0.1691E-10
       116.5   0.1379E-10
       117.5   0.4825E-10
       118.5   0.5262E-10
       119.5   0.9052E-10
       120.5   0.1178E-09
       121.5   0.3866E-09
       122.5   0.5173E-09
       123.5   0.9182E-09
       124.5   0.1550E-08
       125.5   0.1353E-08
       126.5   0.2580E-08
       127.5   0.4035E-08
       128.5   0.3630E-08
       129.5   0.2671E-08
       130.5   0.6008E-08
       131.5   0.1441E-07
       132.5   0.1196E-07
       133.5   0.1197E-07
       134.5   0.2305E-07
       135.5   0.3521E-07
       136.5   0.3389E-07
       137.5   0.3097E-07
       138.5   0.2742E-07
       139.5   0.4454E-07
       140.5   0.8590E-07
       141.5   0.1171E-06
       142.5   0.8811E-07
       143.5   0.1661E-06
       144.2   0.2186E-06
       144.7   0.1763E-06
       145.5   0.1877E-06
       146.5   0.3580E-06
       147.5   0.3817E-06
       148.5   0.3252E-06
       149.5   0.8009E-06
       150.5   0.1399E-05
       151.2   0.4400E-06
       151.7   0.7128E-06
       152.5   0.1512E-05
       153.5   0.2432E-05
       154.5   0.1237E-05
       155.5   0.2284E-05
       156.5   0.2731E-05
       157.5   0.5336E-05
       158.5   0.7239E-05
       159.5   0.7611E-05
