
H2CO                PRODUCTION RXS              INT RX RATE    TP =  1.21E+11
  60) CH4     + O1D     = H2CO    + H2           1.244E+08
  62) CH21    + O2      = H2CO    + O            1.831E+05
  66) CH23    + O2      = H2CO    + O            1.148E+04
  68) CH3     + OH      = H2CO    + H2           7.532E+03
  69) CH3     + O       = H2CO    + H            1.544E+06
  70) CH3     + O3      = H2CO    + HO2          2.390E+06
  74) H3CO    + O2      = H2CO    + HO2          1.206E+11
  75) H3CO    + O       = H2CO    + OH           1.317E+03
  76) H3CO    + OH      = H2CO    + H2O          6.230E+04

H2CO                   LOSS RXS                INT RX RATE    TL =  1.20E+11
  38) H2CO    + HV      = H2      + CO           4.913E+10
  39) H2CO    + HV      = HCO     + H            2.820E+10
  41) H2CO    + H       = H2      + HCO          8.275E+03
  45) H2CO    + OH      = H2O     + HCO          3.899E+10
  48) H2CO    + O       = HCO     + OH           2.514E+08
 109) CL      + H2CO    = HCL     + HCO          1.248E+08
 185) HS      + H2CO    = H2S     + HCO          2.187E+05

O                   PRODUCTION RXS              INT RX RATE    TP =  2.09E+15
   8) H       + HO2     = H2O     + O            2.035E+07
  20) OH      + OH      = H2O     + O            6.576E+08
  21) O1D     + N2      = O       + N2           4.269E+14
  22) O1D     + O2      = O       + O2           1.719E+14
  23) O2      + HV      = O       + O1D          3.479E+08
  24) O2      + HV      = O       + O            6.481E+12
  27) O3      + HV      = O2      + O            1.455E+15
  29) CO2     + HV      = CO      + O            9.334E+08
  50) HO2     + HV      = OH      + O            3.772E+09
  53) N2O     + HV      = N2      + O            5.703E+08
  56) NO      + HV      = N       + O            1.009E+08
  57) NO2     + HV      = NO      + O            2.124E+13
  62) CH21    + O2      = H2CO    + O            1.831E+05
  66) CH23    + O2      = H2CO    + O            1.148E+04
  79) N       + O2      = NO      + O            8.731E+07
  82) N       + NO      = N2      + O            1.040E+07
 133) CLO2    + HV      = CLO     + O            2.001E+04
 151) NO3     + HV      = NO2     + O            1.606E+10
 157) SO2     + HV      = SO      + O            1.631E+05
 159) SO      + O2      = O       + SO2          3.302E+08
 180) S       + O2      = SO      + O            6.990E+04
 194) SO21    + O2      = SO3     + O            3.561E+05
 211) HSO     + HV      = HS      + O            1.353E+00

O                      LOSS RXS                INT RX RATE    TL =  2.09E+15
   3) H2      + O       = OH      + H            5.258E+06
  10) OH      + O       = H       + O2           2.474E+12
  13) HO2     + O       = OH      + O2           2.223E+12
  17) O       + O       = O2      +              9.394E+08
  18) O       + O2      = O3      +              2.079E+15
  19) O       + O3      = O2      + O2           1.053E+12
  31) CO      + O       = CO2     +              2.077E+05
  36) O       + HCO     = H       + CO2          2.371E+03
  37) O       + HCO     = OH      + CO           2.371E+03
  48) H2CO    + O       = HCO     + OH           2.514E+08
  49) H2O2    + O       = OH      + HO2          4.705E+06
  69) CH3     + O       = H2CO    + H            1.544E+06
  75) H3CO    + O       = H2CO    + OH           1.317E+03
  84) NO      + O       = NO2     +              5.735E+09
  87) NO2     + O       = NO      + O2           2.408E+12
  93) HO2NO2  + O       = NO2     + OH      O2   1.067E+05
