    n     flux[photons/s/cm^2]     w-range[A]
      1  8.5483219E+05       1754.       1770.
      2  1.2732946E+06       1770.       1786.
      3  1.9077399E+06       1786.       1802.
      4  2.0098676E+06       1802.       1818.
      5  2.5476788E+06       1818.       1835.
      6  2.8893502E+06       1835.       1852.
      7  4.1843490E+06       1852.       1869.
      8  3.2972615E+06       1869.       1887.
      9  7.0274420E+06       1887.       1905.
     10  6.5115355E+06       1905.       1923.
     11  1.5800657E+07       1923.       1942.
     12  1.6847464E+07       1942.       1961.
     13  2.2444584E+07       1961.       1980.
     14  3.0851962E+07       1980.       2000.
     15  3.8830552E+07       2000.       2020.
     16  4.8054008E+07       2020.       2041.
     17  5.8964200E+07       2041.       2062.
     18  7.1876512E+07       2062.       2083.
     19  1.3949117E+08       2083.       2105.
     20  1.3107310E+08       2105.       2128.
     21  1.9543682E+08       2128.       2151.
     22  1.8748322E+08       2151.       2174.
     23  3.5309142E+08       2174.       2200.
     24  2.8434106E+08       2200.       2222.
     25  6.4323757E+08       2222.       2247.
     26  4.5961248E+08       2247.       2273.
     27  8.6130483E+08       2273.       2299.
     28  1.3122534E+09       2299.       2326.
     29  1.9317143E+09       2326.       2353.
     30  1.4311798E+09       2353.       2381.
     31  3.1341097E+09       2381.       2410.
     32  5.0792550E+09       2410.       2439.
     33  7.1010826E+09       2439.       2469.
     34  6.4564424E+09       2469.       2500.
     35  9.5720509E+09       2500.       2532.
     36  1.5619384E+10       2532.       2564.
     37  1.4157841E+10       2564.       2597.
     38  5.4463103E+10       2597.       2632.
     39  4.9364120E+10       2632.       2667.
     40  7.9697240E+10       2667.       2703.
     41  9.4516183E+10       2703.       2740.
     42  1.3106228E+11       2740.       2778.
     43  1.2290032E+11       2778.       2817.
     44  1.2547959E+11       2817.       2857.
     45  3.7407506E+11       2857.       2899.
     46  5.1772604E+11       2899.       2941.
     47  5.6909542E+11       2941.       2985.
     48  5.5583932E+11       2985.       3030.
     49  7.8974229E+11       3030.       3077.
     50  8.6438576E+11       3077.       3125.
     51  2.2037371E+12       3125.       3175.
     52  3.6040420E+12       3175.       3225.
     53  3.5995014E+12       3225.       3275.
     54  9.5472216E+12       3275.       3325.
     55  8.6197592E+12       3325.       3375.
     56  9.0925087E+12       3375.       3425.
     57  2.9218610E+12       3425.       3450.
     58  2.2932514E+13       3450.       3550.
     59  2.2353185E+13       3550.       3650.
     60  3.7438395E+13       3650.       3750.
     61  5.0728907E+13       3750.       3850.
     62  4.2348914E+13       3850.       3950.
     63  1.0099845E+14       3950.       4050.
     64  1.5126940E+14       4050.       4150.
     65  1.0869695E+14       4150.       4250.
     66  1.3384933E+14       4250.       4350.
     67  2.2605690E+14       4350.       4450.
     68  2.5799006E+14       4450.       4550.
     69  3.3012843E+14       4550.       4650.
     70  3.4570457E+14       4650.       4750.
     71  3.3011635E+14       4750.       4850.
     72  4.3841771E+14       4850.       4950.
     73  3.2290396E+14       4950.       5050.
     74  3.3528706E+14       5050.       5150.
     75  3.3841353E+14       5150.       5250.
     76  5.4298497E+14       5250.       5350.
     77  6.3233488E+14       5350.       5450.
     78  6.0864210E+14       5450.       5550.
     79  6.2319224E+14       5550.       5650.
     80  7.5681565E+14       5650.       5750.
     81  8.5861503E+14       5750.       5850.
     82  6.1794426E+14       5850.       5950.
     83  8.3990891E+14       5950.       6050.
     84  9.4253124E+14       6050.       6150.
     85  6.7263570E+14       6150.       6250.
     86  7.9937260E+14       6250.       6350.
     87  8.6971303E+14       6350.       6450.
     88  9.6488225E+14       6450.       6550.
     89  1.1182074E+15       6550.       6650.
     90  9.4649912E+14       6650.       6750.
     91  9.0808024E+14       6750.       6850.
     92  9.0855792E+14       6850.       6950.
     93  1.2701077E+15       6950.       7050.
     94  1.0393142E+15       7050.       7150.
     95  1.0784327E+15       7150.       7250.
     96  1.4806776E+15       7250.       7350.
     97  1.6964855E+15       7350.       7450.
     98  1.7834116E+15       7450.       7550.
     99  1.7284398E+15       7550.       7650.
    100  1.5562536E+15       7650.       7750.
    101  1.6301022E+15       7750.       7850.
    102  1.7295417E+15       7850.       7950.
    103  1.8663386E+15       7950.       8050.
    104  1.9492331E+15       8050.       8150.
    105  1.9294443E+15       8150.       8250.
    106  1.9564989E+15       8250.       8350.
    107  1.8800767E+15       8350.       8450.
    108  1.8649137E+15       8450.       8550.
