    n        flux[ergs/s/cm^2]     w-range[A]
      1  1.3442692E-06       2000.       2020.
      2  1.6899112E-06       2020.       2041.
      3  1.9081972E-06       2041.       2062.
      4  2.8646584E-06       2062.       2083.
      5  1.2798258E-05       2083.       2105.
      6  8.2486831E-06       2105.       2128.
      7  1.5719346E-05       2128.       2151.
      8  1.2135423E-05       2151.       2174.
      9  4.6721205E-05       2174.       2200.
     10  1.7692333E-05       2200.       2222.
     11  9.9432524E-05       2222.       2247.
     12  3.3797405E-05       2247.       2273.
     13  1.8383934E-04       2273.       2299.
     14  2.3470118E-04       2299.       2326.
     15  4.9418490E-04       2326.       2353.
     16  1.6909509E-04       2353.       2381.
 
      1  2.9681450E-01       2376.       2750.
      2  2.7704054E-01       2750.       2850.
      3  2.7496781E+00       2850.       3071.
      4  8.2915764E+00       3071.       3200.
      5  1.6209091E+01       3200.       3292.
      6  3.7226322E+01       3292.       3412.
      7  2.1836205E+02       3412.       3900.
      8  1.2417020E+03       3900.       4500.
      9  4.6833789E+03       4500.       5400.
     10  7.6349738E+02       5400.       5495.
     11  1.3956578E+03       5495.       5666.
     12  3.5993198E+03       5666.       6050.
     13  1.9762148E+03       6050.       6250.
     14  4.8681362E+03       6250.       6667.
     15  2.3748420E+03       6667.       6910.
     16  1.0980420E+04       6910.       7520.
     17  7.3338462E+03       7520.       7840.
     18  1.6354979E+04       7840.       8420.
     19  1.3707403E+04       8420.       8910.
     20  2.0860400E+04       8910.       9620.
     21  2.1361201E+04       9620.       10360.
     22  1.0010164E+04       10360.       10700.
     23  1.7270816E+04       10700.       11300.
     24  1.9533463E+04       11300.       12030.
     25  2.6170092E+04       12030.       13070.
     26  2.4947186E+04       13070.       14310.
     27  2.2206330E+04       14310.       15650.
     28  1.9952205E+04       15650.       16880.
     29  2.0800186E+04       16880.       18620.
     30  1.3399335E+04       18620.       20200.
     31  1.3480938E+04       20200.       22030.
     32  1.6055356E+04       22030.       24810.
     33  6.0531650E+03       24810.       26600.
     34  6.8688203E+03       26600.       29200.
     35  6.1627754E+03       29200.       32390.
     36  5.4715532E+03       32390.       35770.
     37  5.6252026E+03       35770.       40100.
     38  1.5938301E+03       40100.       41720.
