DROPLET RADIUS      0.010000000
    WAVl        QEXT      W0      gf
       500.00000   9.4103621e-05   2.9174921e-12   5.6370190e-09
       142.85710   0.00025734010   1.0587872e-10   4.4656519e-08
       76.923100   0.00062721832   4.9316267e-10   1.4862405e-07
       52.631600    0.0011099479   9.6008148e-10   2.8025923e-07
       40.000000    0.0010933777   1.8282908e-09   4.7332069e-07
       32.786900    0.0010636059   4.0173820e-09   7.2244261e-07
       28.169000    0.0012709405   6.8048582e-09   9.9286644e-07
       24.390200    0.0017091649   9.4783075e-09   1.3090242e-06
       21.621600    0.0021748789   1.1881135e-08   1.6267772e-06
       19.230800    0.0027588949   1.4798359e-08   2.0006332e-06
       17.211700    0.0034531338   1.6880098e-08   2.3911037e-06
       15.576300    0.0039217624   1.8344410e-08   2.8110222e-06
       14.419600    0.0041066669   1.9157280e-08   3.2013496e-06
       13.157900    0.0038921311   1.8491269e-08   3.7534088e-06
       11.940300    0.0026301892   1.5108451e-08   4.5402127e-06
       11.019300    0.0014238042   2.1617880e-08   5.4505243e-06
       10.309300   0.00088516875   5.7602265e-08   6.3556894e-06
       9.6852000   0.00072777941   1.2173952e-07   7.3142213e-06
       9.2039000   0.00067730424   1.8814101e-07   8.1706809e-06
       8.6655000   0.00064435572   2.8851994e-07   9.2923106e-06
       8.0808000   0.00063009614   4.3908854e-07   1.0765719e-05
       7.6190000   0.00062950609   6.0253346e-07   1.2175289e-05
       7.1429000   0.00064979257   8.1907302e-07   1.3930102e-05
       6.6667000   0.00073530453   1.0628330e-06   1.6115898e-05
       6.2500000    0.0015703367   7.9383752e-07   1.8585964e-05
       5.8824000    0.0013902247   5.6338489e-07   2.0000422e-05
       5.5556000   0.00033778229   3.7928482e-06   2.2852000e-05
       5.2632000   0.00027048404   6.7408400e-06   2.5699418e-05
       5.0000000   0.00035600143   6.7638969e-06   2.8625388e-05
       4.7059000   0.00047700465   6.6548153e-06   3.2394385e-05
       4.3507000   0.00030792409   1.4627823e-05   3.8010798e-05
       4.0891000   0.00018943719   3.2445431e-05   4.3247784e-05
       3.7807000   0.00012452041   7.5159765e-05   5.1050184e-05
       3.3996000   0.00075091846   2.4796301e-05   6.4739130e-05
       3.0713000    0.0093529334   4.2763226e-06   7.9729250e-05
       2.7836000    0.0056076592   1.3715592e-06   8.5492769e-05
       2.5674000   0.00013367035   0.00016391109   0.00010545167
       2.3337000   3.5898834e-05    0.0011572658   0.00012960950
       2.1075000   3.0572321e-05    0.0022786684   0.00016009453
       1.9380000   0.00014296029   0.00071278605   0.00018992482
       1.7707000   9.2997987e-06     0.016287698   0.00022809337
       1.6240000   7.4855316e-06     0.029393149   0.00027171354
       1.4948000   2.3606238e-05     0.013232999   0.00032116807
       1.3661000   5.7108093e-06     0.079541725   0.00038494788
       1.2527000   1.8932173e-06      0.34395463   0.00045826706
       1.1652000   2.2349401e-06      0.39294452   0.00053005967
       1.0989000   1.3387204e-06      0.83504893   0.00059626683
       1.0526000   1.5197549e-06      0.87805200   0.00065011651
      0.99750000   2.1021539e-06      0.79164228   0.00072423936
      0.92510000   2.4339622e-06      0.93147151   0.00084253558
      0.86620000   3.0285290e-06      0.98059733   0.00096150923
      0.81100000   3.9156281e-06      0.99390097    0.0010974325
      0.76780000   4.9025409e-06      0.99418133    0.0012249663
