    n     flux[photons/s/cm^2]     w-range[A]
      1  1.4130899E+06       1754.       1770.
      2  2.1048338E+06       1770.       1786.
      3  3.1536105E+06       1786.       1802.
      4  3.3224340E+06       1802.       1818.
      5  4.2114690E+06       1818.       1835.
      6  4.7762725E+06       1835.       1852.
      7  6.9169845E+06       1852.       1869.
      8  5.4505745E+06       1869.       1887.
      9  1.1616791E+07       1887.       1905.
     10  1.0763966E+07       1905.       1923.
     11  2.6119452E+07       1923.       1942.
     12  2.7849888E+07       1942.       1961.
     13  3.7102268E+07       1961.       1980.
     14  5.1000180E+07       1980.       2000.
     15  6.4189276E+07       2000.       2020.
     16  7.9436208E+07       2020.       2041.
     17  9.7471424E+07       2041.       2062.
     18  1.1881626E+08       2062.       2083.
     19  2.3058742E+08       2083.       2105.
     20  2.1667184E+08       2105.       2128.
     21  3.2306899E+08       2128.       2151.
     22  3.0992118E+08       2151.       2174.
     23  5.8368166E+08       2174.       2200.
     24  4.7003312E+08       2200.       2222.
     25  1.0633110E+09       2222.       2247.
     26  7.5976749E+08       2247.       2273.
     27  1.4237894E+09       2273.       2299.
     28  2.1692352E+09       2299.       2326.
     29  3.1932416E+09       2326.       2353.
     30  2.3658276E+09       2353.       2381.
     31  5.1808748E+09       2381.       2410.
     32  8.3963182E+09       2410.       2439.
     33  1.1738523E+10       2439.       2469.
     34  1.0672893E+10       2469.       2500.
     35  1.5823185E+10       2500.       2532.
     36  2.5819798E+10       2532.       2564.
     37  2.3403778E+10       2564.       2597.
     38  9.0030834E+10       2597.       2632.
     39  8.1601905E+10       2632.       2667.
     40  1.3174441E+11       2667.       2703.
     41  1.5624102E+11       2703.       2740.
     42  2.1665396E+11       2740.       2778.
     43  2.0316173E+11       2778.       2817.
     44  2.0742544E+11       2817.       2857.
     45  6.1836893E+11       2857.       2899.
     46  8.5583272E+11       2899.       2941.
     47  9.4074949E+11       2941.       2985.
     48  9.1883635E+11       2985.       3030.
     49  1.3054922E+12       3030.       3077.
     50  1.4288825E+12       3077.       3125.
     51  3.6429119E+12       3125.       3175.
     52  5.9577016E+12       3175.       3225.
     53  5.9501959E+12       3225.       3275.
     54  1.5782140E+13       3275.       3325.
     55  1.4248989E+13       3325.       3375.
     56  1.5030472E+13       3375.       3425.
     57  4.8300142E+12       3425.       3450.
     58  3.7908845E+13       3450.       3550.
     59  3.6951181E+13       3550.       3650.
     60  6.1887954E+13       3650.       3750.
     61  8.3857978E+13       3750.       3850.
     62  7.0005341E+13       3850.       3950.
     63  1.6695662E+14       3950.       4050.
     64  2.5005756E+14       4050.       4150.
     65  1.7968269E+14       4150.       4250.
     66  2.2126113E+14       4250.       4350.
     67  3.7368588E+14       4350.       4450.
     68  4.2647334E+14       4450.       4550.
     69  5.4572247E+14       4550.       4650.
     70  5.7147077E+14       4650.       4750.
     71  5.4570247E+14       4750.       4850.
     72  7.2473124E+14       4850.       4950.
     73  5.3377998E+14       4950.       5050.
     74  5.5424999E+14       5050.       5150.
     75  5.5941825E+14       5150.       5250.
     76  8.9758736E+14       5250.       5350.
     77  1.0452881E+15       5350.       5450.
     78  1.0061225E+15       5450.       5550.
     79  1.0301749E+15       5550.       5650.
     80  1.2510625E+15       5650.       5750.
     81  1.4193431E+15       5750.       5850.
     82  1.0214996E+15       5850.       5950.
     83  1.3884208E+15       5950.       6050.
     84  1.5580617E+15       6050.       6150.
     85  1.1119079E+15       6150.       6250.
     86  1.3214116E+15       6250.       6350.
     87  1.4376888E+15       6350.       6450.
     88  1.5950094E+15       6450.       6550.
     89  1.8484651E+15       6550.       6650.
     90  1.5646209E+15       6650.       6750.
     91  1.5011121E+15       6750.       6850.
     92  1.5019017E+15       6850.       6950.
     93  2.0995656E+15       6950.       7050.
     94  1.7180499E+15       7050.       7150.
     95  1.7827152E+15       7150.       7250.
     96  2.4476506E+15       7250.       7350.
     97  2.8043941E+15       7350.       7450.
     98  2.9480884E+15       7450.       7550.
     99  2.8572165E+15       7550.       7650.
    100  2.5725823E+15       7650.       7750.
    101  2.6946587E+15       7750.       7850.
    102  2.8590381E+15       7850.       7950.
    103  3.0851716E+15       7950.       8050.
    104  3.2222012E+15       8050.       8150.
    105  3.1894892E+15       8150.       8250.
    106  3.2342121E+15       8250.       8350.
    107  3.1078816E+15       8350.       8450.
    108  3.0828164E+15       8450.       8550.
