    n        flux[ergs/s/cm^2]     w-range[A]
      1  2.1592547E-04       2000.       2020.
      2  2.6450958E-04       2020.       2041.
      3  3.2124898E-04       2041.       2062.
      4  3.8787065E-04       2062.       2083.
      5  7.4435235E-04       2083.       2105.
      6  6.9288630E-04       2105.       2128.
      7  1.0211975E-03       2128.       2151.
      8  9.6957723E-04       2151.       2174.
      9  1.8053181E-03       2174.       2200.
     10  1.4383416E-03       2200.       2222.
     11  3.2191379E-03       2222.       2247.
     12  2.2726755E-03       2247.       2273.
     13  4.2108265E-03       2273.       2299.
     14  6.3395193E-03       2299.       2326.
     15  9.2400359E-03       2326.       2353.
     16  6.7646457E-03       2353.       2381.
 
      1  1.5347701E+00       2376.       2750.
      2  1.3688848E+00       2750.       2850.
      3  1.0103990E+01       2850.       3071.
      4  1.7418800E+01       3071.       3200.
      5  3.0892818E+01       3200.       3292.
      6  7.0487190E+01       3292.       3412.
      7  4.7608450E+02       3412.       3900.
      8  2.3198945E+03       3900.       4500.
      9  7.7226948E+03       4500.       5400.
     10  1.1410676E+03       5400.       5495.
     11  2.1673516E+03       5495.       5666.
     12  5.6637871E+03       5666.       6050.
     13  2.9394463E+03       6050.       6250.
     14  6.8176255E+03       6250.       6667.
     15  3.6636230E+03       6667.       6910.
     16  1.2591674E+04       6910.       7520.
     17  7.7074795E+03       7520.       7840.
     18  1.5042655E+04       7840.       8420.
     19  1.2281547E+04       8420.       8910.
     20  1.7709176E+04       8910.       9620.
     21  1.7484166E+04       9620.       10360.
     22  7.8530562E+03       10360.       10700.
     23  1.3263883E+04       10700.       11300.
     24  1.4932336E+04       11300.       12030.
     25  1.9590627E+04       12030.       13070.
     26  1.9896523E+04       13070.       14310.
     27  1.8240744E+04       14310.       15650.
     28  1.5377735E+04       15650.       16880.
     29  1.6914148E+04       16880.       18620.
     30  1.1186315E+04       18620.       20200.
     31  1.0584196E+04       20200.       22030.
     32  1.1752778E+04       22030.       24810.
     33  4.6175947E+03       24810.       26600.
     34  5.3211260E+03       26600.       29200.
     35  4.6089014E+03       29200.       32390.
     36  3.8546013E+03       32390.       35770.
     37  3.7379875E+03       35770.       40100.
     38  1.0603976E+03       40100.       41720.
