    n     flux[photons/s/cm^2]     w-range[A]
      1  2.1305048E+06       1754.       1770.
      2  3.1734415E+06       1770.       1786.
      3  4.7546745E+06       1786.       1802.
      4  5.0092080E+06       1802.       1818.
      5  6.3495990E+06       1818.       1835.
      6  7.2011490E+06       1835.       1852.
      7  1.0428684E+07       1852.       1869.
      8  8.2177890E+06       1869.       1887.
      9  1.7514546E+07       1887.       1905.
     10  1.6228749E+07       1905.       1923.
     11  3.9380096E+07       1923.       1942.
     12  4.1989060E+07       1942.       1961.
     13  5.5938804E+07       1961.       1980.
     14  7.6892576E+07       1980.       2000.
     15  9.6777680E+07       2000.       2020.
     16  1.1976536E+08       2020.       2041.
     17  1.4695691E+08       2041.       2062.
     18  1.7913837E+08       2062.       2083.
     19  3.4765488E+08       2083.       2105.
     20  3.2667446E+08       2105.       2128.
     21  4.8708864E+08       2128.       2151.
     22  4.6726579E+08       2151.       2174.
     23  8.8001235E+08       2174.       2200.
     24  7.0866534E+08       2200.       2222.
     25  1.6031457E+09       2222.       2247.
     26  1.1454956E+09       2247.       2273.
     27  2.1466364E+09       2273.       2299.
     28  3.2705390E+09       2299.       2326.
     29  4.8144256E+09       2326.       2353.
     30  3.5669399E+09       2353.       2381.
     31  7.8111647E+09       2381.       2410.
     32  1.2659065E+10       2410.       2439.
     33  1.7698081E+10       2439.       2469.
     34  1.6091439E+10       2469.       2500.
     35  2.3856495E+10       2500.       2532.
     36  3.8928310E+10       2532.       2564.
     37  3.5285692E+10       2564.       2597.
     38  1.3573879E+11       2597.       2632.
     39  1.2303056E+11       2632.       2667.
     40  1.9863003E+11       2667.       2703.
     41  2.3556338E+11       2703.       2740.
     42  3.2664751E+11       2740.       2778.
     43  3.0630537E+11       2778.       2817.
     44  3.1273373E+11       2817.       2857.
     45  9.3231009E+11       2857.       2899.
     46  1.2903324E+12       2899.       2941.
     47  1.4183608E+12       2941.       2985.
     48  1.3853225E+12       2985.       3030.
     49  1.9682806E+12       3030.       3077.
     50  2.1543151E+12       3077.       3125.
     51  5.4923902E+12       3125.       3175.
     52  8.9823809E+12       3175.       3225.
     53  8.9710647E+12       3225.       3275.
     54  2.3794612E+13       3275.       3325.
     55  2.1483091E+13       3325.       3375.
     56  2.2661325E+13       3375.       3425.
     57  7.2821758E+12       3425.       3450.
     58  5.7154875E+13       3450.       3550.
     59  5.5711011E+13       3550.       3650.
     60  9.3307988E+13       3650.       3750.
     61  1.2643203E+14       3750.       3850.
     62  1.0554651E+14       3850.       3950.
     63  2.5171921E+14       3950.       4050.
     64  3.7700985E+14       4050.       4150.
     65  2.7090622E+14       4150.       4250.
     66  3.3359370E+14       4250.       4350.
     67  5.6340327E+14       4350.       4450.
     68  6.4299056E+14       4450.       4550.
     69  8.2278158E+14       4550.       4650.
     70  8.6160205E+14       4650.       4750.
     71  8.2275138E+14       4750.       4850.
     72  1.0926718E+15       4850.       4950.
     73  8.0477594E+14       4950.       5050.
     74  8.3563843E+14       5050.       5150.
     75  8.4343058E+14       5150.       5250.
     76  1.3532855E+15       5250.       5350.
     77  1.5759729E+15       5350.       5450.
     78  1.5169231E+15       5450.       5550.
     79  1.5531867E+15       5550.       5650.
     80  1.8862172E+15       5650.       5750.
     81  2.1399326E+15       5750.       5850.
     82  1.5401071E+15       5850.       5950.
     83  2.0933112E+15       5950.       6050.
     84  2.3490776E+15       6050.       6150.
     85  1.6764150E+15       6150.       6250.
     86  1.9922822E+15       6250.       6350.
     87  2.1675923E+15       6350.       6450.
     88  2.4047833E+15       6450.       6550.
     89  2.7869165E+15       6550.       6650.
     90  2.3589668E+15       6650.       6750.
     91  2.2632153E+15       6750.       6850.
     92  2.2644055E+15       6850.       6950.
     93  3.1654991E+15       6950.       7050.
     94  2.5902905E+15       7050.       7150.
     95  2.6877860E+15       7150.       7250.
     96  3.6903038E+15       7250.       7350.
     97  4.2281634E+15       7350.       7450.
     98  4.4448101E+15       7450.       7550.
     99  4.3078033E+15       7550.       7650.
    100  3.8786626E+15       7650.       7750.
    101  4.0627161E+15       7750.       7850.
    102  4.3105497E+15       7850.       7950.
    103  4.6514893E+15       7950.       8050.
    104  4.8580880E+15       8050.       8150.
    105  4.8087683E+15       8150.       8250.
    106  4.8761966E+15       8250.       8350.
    107  4.6857293E+15       8350.       8450.
    108  4.6479384E+15       8450.       8550.
