
!Atmospheric profiles.  The three columns are:
!geometric altitude (km),temperature (K),pressure (millibars)
!        alt(km)  T(K)   P(mbar)
Z,T,P     0.00  288.765 0.10169E+04
Z,T,P     0.20  287.835 0.99361E+03
Z,T,P     0.58  285.966 0.94859E+03
Z,T,P     0.97  284.064 0.90561E+03
Z,T,P     1.35  282.124 0.86458E+03
Z,T,P     1.73  280.161 0.82540E+03
Z,T,P     2.11  278.151 0.78800E+03
Z,T,P     2.49  276.113 0.75230E+03
Z,T,P     2.86  274.028 0.71822E+03
Z,T,P     3.23  272.001 0.68567E+03
Z,T,P     3.59  270.022 0.65461E+03
Z,T,P     3.96  267.978 0.62495E+03
Z,T,P     4.32  265.865 0.59663E+03
Z,T,P     4.67  263.679 0.56960E+03
Z,T,P     5.03  261.416 0.54379E+03
Z,T,P     5.38  259.075 0.51915E+03
Z,T,P     5.73  256.654 0.49563E+03
Z,T,P     6.07  254.154 0.47317E+03
Z,T,P     6.41  251.577 0.45173E+03
Z,T,P     6.75  248.927 0.43127E+03
Z,T,P     7.08  246.212 0.41173E+03
Z,T,P     7.42  243.440 0.39307E+03
Z,T,P     7.74  240.620 0.37526E+03
Z,T,P     8.06  237.763 0.35826E+03
Z,T,P     8.38  234.880 0.34203E+03
Z,T,P     8.70  231.981 0.32653E+03
Z,T,P     9.01  229.076 0.31174E+03
Z,T,P     9.32  226.173 0.29761E+03
Z,T,P     9.62  223.280 0.28413E+03
Z,T,P     9.92  220.403 0.27125E+03
Z,T,P    10.21  217.599 0.25896E+03
Z,T,P    10.51  215.223 0.24723E+03
Z,T,P    10.79  213.644 0.23603E+03
Z,T,P    11.08  212.609 0.22533E+03
Z,T,P    11.37  211.754 0.21512E+03
Z,T,P    11.65  211.007 0.20538E+03
Z,T,P    11.94  210.360 0.19607E+03
Z,T,P    12.22  209.801 0.18719E+03
Z,T,P    12.50  209.309 0.17871E+03
Z,T,P    12.79  208.865 0.17061E+03
Z,T,P    13.07  208.456 0.16288E+03
Z,T,P    13.35  208.071 0.15550E+03
Z,T,P    13.63  207.704 0.14845E+03
Z,T,P    13.91  207.349 0.14173E+03
Z,T,P    14.19  207.003 0.13531E+03
Z,T,P    14.47  206.659 0.12918E+03
Z,T,P    14.75  206.316 0.12332E+03
Z,T,P    15.02  205.968 0.11774E+03
Z,T,P    15.30  205.617 0.11240E+03
Z,T,P    15.58  205.270 0.10731E+03
Z,T,P    15.85  204.938 0.10245E+03
Z,T,P    16.13  204.629 0.97805E+02
Z,T,P    16.41  204.348 0.93373E+02
Z,T,P    16.68  204.100 0.89143E+02
Z,T,P    16.96  203.889 0.85104E+02
Z,T,P    17.23  203.716 0.81248E+02
Z,T,P    17.51  203.580 0.77566E+02
Z,T,P    17.78  203.483 0.74052E+02
Z,T,P    18.06  203.426 0.70697E+02
Z,T,P    18.33  203.411 0.67494E+02
Z,T,P    18.60  203.438 0.64436E+02
Z,T,P    18.88  203.508 0.61516E+02
Z,T,P    19.15  203.623 0.58729E+02
Z,T,P    19.43  203.786 0.56068E+02
Z,T,P    19.70  203.994 0.53528E+02
Z,T,P    19.98  204.239 0.51102E+02
Z,T,P    20.25  204.519 0.48787E+02
Z,T,P    20.53  204.841 0.46576E+02
Z,T,P    20.81  205.209 0.44466E+02
Z,T,P    21.08  205.626 0.42451E+02
Z,T,P    21.36  206.100 0.40528E+02
Z,T,P    21.64  206.639 0.38692E+02
Z,T,P    21.92  207.255 0.36939E+02
Z,T,P    22.20  207.954 0.35265E+02
Z,T,P    22.48  208.714 0.33667E+02
Z,T,P    22.76  209.519 0.32142E+02
Z,T,P    23.05  210.374 0.30685E+02
Z,T,P    23.33  211.289 0.29295E+02
Z,T,P    23.62  212.261 0.27968E+02
Z,T,P    23.90  213.278 0.26701E+02
Z,T,P    24.19  214.326 0.25491E+02
Z,T,P    24.48  215.397 0.24336E+02
Z,T,P    24.77  216.474 0.23233E+02
Z,T,P    25.06  217.548 0.22181E+02
Z,T,P    25.36  218.625 0.21176E+02
Z,T,P    25.65  219.703 0.20216E+02
Z,T,P    25.95  220.759 0.19300E+02
Z,T,P    26.25  221.777 0.18426E+02
Z,T,P    26.55  222.751 0.17591E+02
Z,T,P    26.85  223.680 0.16794E+02
Z,T,P    27.15  224.570 0.16033E+02
Z,T,P    27.46  225.422 0.15306E+02
Z,T,P    27.76  226.242 0.14613E+02
Z,T,P    28.07  227.022 0.13951E+02
Z,T,P    28.37  227.761 0.13319E+02
Z,T,P    28.68  228.474 0.12715E+02
Z,T,P    28.99  229.143 0.12139E+02
Z,T,P    29.30  229.760 0.11589E+02
Z,T,P    29.61  230.351 0.11064E+02
Z,T,P    29.92  230.932 0.10563E+02
Z,T,P    30.23  231.530 0.10084E+02
Z,T,P    30.55  232.162 0.96273E+01
Z,T,P    30.86  232.811 0.91911E+01
Z,T,P    31.17  233.462 0.87747E+01
Z,T,P    31.49  234.102 0.83771E+01
Z,T,P    31.81  234.743 0.79975E+01
Z,T,P    32.12  235.407 0.76352E+01
Z,T,P    32.44  236.089 0.72892E+01
Z,T,P    32.76  236.777 0.69590E+01
Z,T,P    33.08  237.476 0.66437E+01
Z,T,P    33.40  238.199 0.63426E+01
Z,T,P    33.72  238.947 0.60553E+01
Z,T,P    34.04  239.715 0.57809E+01
Z,T,P    34.37  240.493 0.55190E+01
Z,T,P    34.69  241.295 0.52689E+01
Z,T,P    35.02  242.125 0.50302E+01
Z,T,P    35.35  242.968 0.48023E+01
Z,T,P    35.67  243.810 0.45847E+01
Z,T,P    36.00  244.664 0.43770E+01
Z,T,P    36.33  245.541 0.41787E+01
Z,T,P    36.67  246.425 0.39893E+01
Z,T,P    37.00  247.309 0.38086E+01
Z,T,P    37.33  248.200 0.36360E+01
Z,T,P    37.67  249.111 0.34713E+01
Z,T,P    38.01  250.047 0.33140E+01
Z,T,P    38.34  250.992 0.31638E+01
Z,T,P    38.68  251.943 0.30205E+01
Z,T,P    39.02  252.923 0.28836E+01
Z,T,P    39.36  253.934 0.27530E+01
Z,T,P    39.71  254.971 0.26282E+01
Z,T,P    40.05  256.029 0.25092E+01
Z,T,P    40.40  257.106 0.23955E+01
Z,T,P    40.75  258.208 0.22869E+01
Z,T,P    41.10  259.331 0.21833E+01
Z,T,P    41.45  260.457 0.20844E+01
Z,T,P    41.80  261.574 0.19900E+01
Z,T,P    42.15  262.687 0.18998E+01
Z,T,P    42.51  263.802 0.18137E+01
Z,T,P    42.86  264.896 0.17315E+01
Z,T,P    43.22  265.939 0.16531E+01
Z,T,P    43.58  266.966 0.15782E+01
Z,T,P    43.94  267.975 0.15067E+01
Z,T,P    44.30  268.897 0.14384E+01
Z,T,P    44.67  269.726 0.13732E+01
Z,T,P    45.03  270.511 0.13110E+01
Z,T,P    45.40  271.261 0.12516E+01
Z,T,P    45.76  271.940 0.11949E+01
Z,T,P    46.13  272.498 0.11408E+01
Z,T,P    46.50  272.943 0.10891E+01
Z,T,P    46.87  273.376 0.10397E+01
Z,T,P    47.24  273.829 0.99263E+00
Z,T,P    47.60  274.207 0.94765E+00
Z,T,P    47.98  274.477 0.90472E+00
Z,T,P    48.35  274.685 0.86372E+00
Z,T,P    48.72  274.839 0.82459E+00
Z,T,P    49.09  274.926 0.78723E+00
Z,T,P    49.46  274.955 0.75156E+00
Z,T,P    49.83  274.925 0.71751E+00
Z,T,P    50.20  274.819 0.68500E+00
Z,T,P    50.57  274.640 0.65396E+00
Z,T,P    50.94  274.415 0.62433E+00
Z,T,P    51.31  274.157 0.59604E+00
Z,T,P    51.68  273.858 0.56904E+00
Z,T,P    52.05  273.489 0.54326E+00
Z,T,P    52.42  273.047 0.51864E+00
Z,T,P    52.79  272.559 0.49514E+00
Z,T,P    53.15  272.036 0.47271E+00
Z,T,P    53.52  271.465 0.45129E+00
Z,T,P    53.88  270.844 0.43084E+00
Z,T,P    54.25  270.193 0.41132E+00
Z,T,P    54.61  269.524 0.39269E+00
Z,T,P    54.98  268.811 0.37489E+00
Z,T,P    55.34  268.046 0.35791E+00
Z,T,P    55.70  267.230 0.34169E+00
Z,T,P    56.06  266.360 0.32621E+00
Z,T,P    56.42  265.459 0.31143E+00
Z,T,P    56.78  264.537 0.29732E+00
Z,T,P    57.13  263.553 0.28385E+00
Z,T,P    57.49  262.497 0.27099E+00
Z,T,P    57.84  261.436 0.25871E+00
Z,T,P    58.19  260.372 0.24699E+00
Z,T,P    58.54  259.247 0.23580E+00
Z,T,P    58.89  258.023 0.22511E+00
Z,T,P    59.24  256.718 0.21491E+00
Z,T,P    59.58  255.398 0.20518E+00
Z,T,P    59.93  254.065 0.19588E+00
Z,T,P    60.27  252.666 0.18700E+00
Z,T,P    60.61  251.187 0.17853E+00
Z,T,P    60.95  249.637 0.17044E+00
Z,T,P    61.28  248.023 0.16272E+00
