
!Atmospheric profiles.  The three columns are:
!geometric altitude (km),temperature (K),pressure (millibars)
!        alt(km)  T(K)   P(mbar)
Z,T,P     0.00  288.324 0.10168E+04
Z,T,P     0.81  284.381 0.92351E+03
Z,T,P     2.39  276.084 0.76109E+03
Z,T,P     3.93  267.471 0.62605E+03
Z,T,P     5.44  257.855 0.51401E+03
Z,T,P     6.90  246.711 0.42122E+03
Z,T,P     8.31  234.368 0.34453E+03
Z,T,P     9.66  223.467 0.28127E+03
Z,T,P    10.97  216.931 0.22919E+03
Z,T,P    12.27  213.735 0.18640E+03
Z,T,P    13.56  211.766 0.15132E+03
Z,T,P    14.85  210.484 0.12261E+03
Z,T,P    16.15  209.873 0.99155E+02
Z,T,P    17.46  210.098 0.80038E+02
Z,T,P    18.78  211.396 0.64485E+02
Z,T,P    20.13  213.874 0.51856E+02
Z,T,P    21.51  217.297 0.41622E+02
Z,T,P    22.92  221.181 0.33344E+02
Z,T,P    24.37  225.091 0.26663E+02
Z,T,P    25.86  228.774 0.21280E+02
Z,T,P    27.39  232.081 0.16952E+02
Z,T,P    28.94  234.973 0.13478E+02
Z,T,P    30.53  237.649 0.10696E+02
Z,T,P    32.15  240.493 0.84727E+01
Z,T,P    33.81  243.716 0.66987E+01
Z,T,P    35.50  247.257 0.52861E+01
Z,T,P    37.23  251.054 0.41635E+01
Z,T,P    39.00  255.180 0.32732E+01
Z,T,P    40.82  259.618 0.25683E+01
Z,T,P    42.68  263.925 0.20115E+01
Z,T,P    44.58  267.304 0.15724E+01
Z,T,P    46.52  269.123 0.12269E+01
Z,T,P    48.47  269.352 0.95544E+00
Z,T,P    50.45  268.313 0.74267E+00
Z,T,P    52.42  266.155 0.57619E+00
Z,T,P    54.39  263.040 0.44618E+00
Z,T,P    56.34  259.375 0.34486E+00
Z,T,P    58.29  255.747 0.26605E+00
Z,T,P    60.22  252.962 0.20486E+00
Z,T,P    62.15  251.381 0.15744E+00
Z,T,P    64.09  250.206 0.12077E+00
Z,T,P    66.02  248.516 0.92471E-01
Z,T,P    67.96  246.441 0.70667E-01
Z,T,P    69.89  244.417 0.53903E-01
Z,T,P    71.82  242.358 0.41038E-01
Z,T,P    73.75  239.861 0.31185E-01
Z,T,P    75.67  236.417 0.23652E-01
Z,T,P    77.56  230.840 0.17906E-01
Z,T,P    79.40  220.617 0.13530E-01
Z,T,P    81.15  207.221 0.10204E-01
Z,T,P    82.81  194.883 0.76810E-02
Z,T,P    84.38  182.792 0.57711E-02
