
!Atmospheric profiles.  The three columns are:
!geometric altitude (km),temperature (K),pressure (millibars)
!        alt(km)  T(K)   P(mbar)
Z,T,P     0.00  315.095 0.10822E+04
Z,T,P     0.36  314.027 0.10423E+04
Z,T,P     1.07  311.886 0.96656E+03
Z,T,P     1.79  309.751 0.89601E+03
Z,T,P     2.50  307.605 0.83030E+03
Z,T,P     3.20  305.465 0.76912E+03
Z,T,P     3.91  303.313 0.71217E+03
Z,T,P     4.61  301.160 0.65919E+03
Z,T,P     5.31  298.997 0.60992E+03
Z,T,P     6.00  296.818 0.56411E+03
Z,T,P     6.70  294.637 0.52155E+03
Z,T,P     7.39  292.429 0.48202E+03
Z,T,P     8.08  290.219 0.44531E+03
Z,T,P     8.76  287.977 0.41125E+03
Z,T,P     9.45  285.726 0.37964E+03
Z,T,P    10.13  283.439 0.35033E+03
Z,T,P    10.81  281.126 0.32316E+03
Z,T,P    11.49  278.777 0.29799E+03
Z,T,P    12.16  276.382 0.27467E+03
Z,T,P    12.83  273.946 0.25308E+03
Z,T,P    13.50  271.649 0.23310E+03
Z,T,P    14.16  269.413 0.21461E+03
Z,T,P    14.82  267.100 0.19752E+03
Z,T,P    15.48  264.695 0.18171E+03
Z,T,P    16.14  262.184 0.16711E+03
Z,T,P    16.79  259.549 0.15363E+03
Z,T,P    17.44  256.767 0.14118E+03
Z,T,P    18.09  253.812 0.12968E+03
Z,T,P    18.72  250.653 0.11908E+03
Z,T,P    19.36  247.258 0.10931E+03
Z,T,P    19.99  243.591 0.10029E+03
Z,T,P    20.61  240.037 0.91990E+02
Z,T,P    21.22  237.521 0.84342E+02
Z,T,P    21.84  235.793 0.77300E+02
Z,T,P    22.45  234.203 0.70819E+02
Z,T,P    23.06  232.648 0.64857E+02
Z,T,P    23.67  231.208 0.59374E+02
Z,T,P    24.27  229.839 0.54335E+02
Z,T,P    24.88  228.506 0.49704E+02
Z,T,P    25.49  227.225 0.45450E+02
Z,T,P    26.09  226.022 0.41545E+02
Z,T,P    26.70  224.912 0.37961E+02
Z,T,P    27.30  224.014 0.34672E+02
Z,T,P    27.90  223.529 0.31657E+02
Z,T,P    28.51  223.408 0.28893E+02
Z,T,P    29.12  223.351 0.26360E+02
Z,T,P    29.73  223.169 0.24040E+02
Z,T,P    30.34  222.817 0.21916E+02
Z,T,P    30.96  222.269 0.19972E+02
Z,T,P    31.57  221.501 0.18194E+02
Z,T,P    32.19  220.525 0.16568E+02
Z,T,P    32.80  219.407 0.15081E+02
Z,T,P    33.42  218.225 0.13722E+02
Z,T,P    34.03  217.032 0.12481E+02
Z,T,P    34.64  215.876 0.11348E+02
Z,T,P    35.25  214.837 0.10314E+02
Z,T,P    35.86  213.989 0.93710E+01
Z,T,P    36.48  213.315 0.85106E+01
Z,T,P    37.09  212.778 0.77264E+01
Z,T,P    37.70  212.392 0.70117E+01
Z,T,P    38.31  212.190 0.63607E+01
Z,T,P    38.93  212.188 0.57679E+01
Z,T,P    39.55  212.390 0.52284E+01
Z,T,P    40.17  212.798 0.47376E+01
Z,T,P    40.80  213.404 0.42912E+01
Z,T,P    41.43  214.180 0.38854E+01
Z,T,P    42.07  215.084 0.35167E+01
Z,T,P    42.71  216.054 0.31817E+01
Z,T,P    43.35  217.017 0.28775E+01
Z,T,P    44.01  217.906 0.26015E+01
Z,T,P    44.66  218.667 0.23510E+01
Z,T,P    45.32  219.271 0.21238E+01
Z,T,P    45.99  219.718 0.19179E+01
Z,T,P    46.66  220.026 0.17312E+01
Z,T,P    47.33  220.213 0.15622E+01
Z,T,P    48.01  220.304 0.14091E+01
Z,T,P    48.68  220.342 0.12705E+01
Z,T,P    49.36  220.386 0.11451E+01
Z,T,P    50.05  220.554 0.10317E+01
Z,T,P    50.73  220.888 0.92921E+00
Z,T,P    51.42  221.183 0.83656E+00
Z,T,P    52.12  221.327 0.75286E+00
Z,T,P    52.81  221.394 0.67728E+00
Z,T,P    53.51  221.356 0.60905E+00
Z,T,P    54.21  221.163 0.54749E+00
Z,T,P    54.91  220.895 0.49197E+00
Z,T,P    55.62  220.664 0.44190E+00
Z,T,P    56.32  220.550 0.39679E+00
Z,T,P    57.03  220.662 0.35614E+00
Z,T,P    57.74  221.118 0.31953E+00
Z,T,P    58.46  221.995 0.28658E+00
Z,T,P    59.18  223.308 0.25693E+00
Z,T,P    59.91  224.982 0.23026E+00
Z,T,P    60.65  226.888 0.20628E+00
Z,T,P    61.40  229.037 0.18473E+00
Z,T,P    62.15  231.377 0.16536E+00
Z,T,P    62.92  233.012 0.14797E+00
Z,T,P    63.69  231.919 0.13236E+00
Z,T,P    64.45  227.139 0.11835E+00
Z,T,P    65.20  220.309 0.10578E+00
