
!Atmospheric profiles.  The three columns are:
!geometric altitude (km),temperature (K),pressure (millibars)
!        alt(km)  T(K)   P(mbar)
Z,T,P     0.00  303.627 0.10411E+04
Z,T,P     0.33  302.429 0.10028E+04
Z,T,P     1.00  300.032 0.93027E+03
Z,T,P     1.66  297.598 0.86264E+03
Z,T,P     2.32  295.147 0.79963E+03
Z,T,P     2.98  292.648 0.74094E+03
Z,T,P     3.63  290.125 0.68630E+03
Z,T,P     4.28  287.542 0.63545E+03
Z,T,P     4.93  284.924 0.58814E+03
Z,T,P     5.57  282.228 0.54415E+03
Z,T,P     6.21  279.483 0.50326E+03
Z,T,P     6.85  276.642 0.46527E+03
Z,T,P     7.48  273.725 0.42998E+03
Z,T,P     8.11  270.989 0.39722E+03
Z,T,P     8.74  268.188 0.36681E+03
Z,T,P     9.36  265.233 0.33861E+03
Z,T,P     9.97  262.101 0.31245E+03
Z,T,P    10.59  258.766 0.28821E+03
Z,T,P    11.19  255.199 0.26575E+03
Z,T,P    11.79  251.518 0.24494E+03
Z,T,P    12.39  248.533 0.22568E+03
Z,T,P    12.98  246.491 0.20785E+03
Z,T,P    13.57  244.802 0.19136E+03
Z,T,P    14.16  243.107 0.17611E+03
Z,T,P    14.75  241.577 0.16202E+03
Z,T,P    15.34  240.269 0.14900E+03
Z,T,P    15.93  239.172 0.13697E+03
Z,T,P    16.51  238.365 0.12586E+03
Z,T,P    17.10  237.567 0.11562E+03
Z,T,P    17.69  236.646 0.10616E+03
Z,T,P    18.28  235.814 0.97445E+02
Z,T,P    18.87  235.079 0.89409E+02
Z,T,P    19.46  234.501 0.82005E+02
Z,T,P    20.05  233.955 0.75185E+02
Z,T,P    20.64  233.323 0.68907E+02
Z,T,P    21.24  232.710 0.63129E+02
Z,T,P    21.83  232.108 0.57814E+02
Z,T,P    22.43  231.264 0.52926E+02
Z,T,P    23.02  229.898 0.48433E+02
Z,T,P    23.62  228.498 0.44305E+02
Z,T,P    24.21  227.760 0.40513E+02
Z,T,P    24.81  227.481 0.37032E+02
Z,T,P    25.40  227.258 0.33837E+02
Z,T,P    26.00  227.100 0.30906E+02
Z,T,P    26.60  227.071 0.28218E+02
Z,T,P    27.21  227.137 0.25754E+02
Z,T,P    27.81  227.244 0.23497E+02
Z,T,P    28.42  227.352 0.21429E+02
Z,T,P    29.03  227.423 0.19536E+02
Z,T,P    29.65  227.439 0.17803E+02
Z,T,P    30.27  227.395 0.16218E+02
Z,T,P    30.88  227.261 0.14769E+02
Z,T,P    31.51  227.017 0.13444E+02
Z,T,P    32.13  226.682 0.12233E+02
Z,T,P    32.75  226.302 0.11127E+02
Z,T,P    33.38  225.964 0.10117E+02
Z,T,P    34.01  225.716 0.91952E+01
Z,T,P    34.64  225.468 0.83544E+01
Z,T,P    35.27  225.138 0.75875E+01
Z,T,P    35.90  224.730 0.68885E+01
Z,T,P    36.53  224.249 0.62515E+01
Z,T,P    37.17  223.701 0.56712E+01
Z,T,P    37.81  223.115 0.51429E+01
Z,T,P    38.44  222.513 0.46620E+01
Z,T,P    39.08  221.933 0.42245E+01
Z,T,P    39.72  221.408 0.38266E+01
Z,T,P    40.36  220.962 0.34648E+01
Z,T,P    41.00  220.626 0.31361E+01
Z,T,P    41.64  220.412 0.28375E+01
Z,T,P    42.28  220.302 0.25663E+01
Z,T,P    42.93  220.272 0.23202E+01
Z,T,P    43.58  220.289 0.20969E+01
Z,T,P    44.23  220.320 0.18944E+01
Z,T,P    44.88  220.332 0.17108E+01
Z,T,P    45.54  220.264 0.15444E+01
Z,T,P    46.20  220.095 0.13936E+01
Z,T,P    46.86  219.857 0.12571E+01
Z,T,P    47.52  219.557 0.11335E+01
Z,T,P    48.18  219.263 0.10217E+01
Z,T,P    48.85  219.037 0.92062E+00
Z,T,P    49.51  218.779 0.82918E+00
Z,T,P    50.18  218.420 0.74655E+00
Z,T,P    50.85  217.993 0.67190E+00
Z,T,P    51.52  217.476 0.60448E+00
Z,T,P    52.19  216.828 0.54362E+00
Z,T,P    52.86  216.042 0.48871E+00
Z,T,P    53.53  215.128 0.43917E+00
Z,T,P    54.20  214.093 0.39451E+00
Z,T,P    54.87  212.930 0.35426E+00
Z,T,P    55.54  211.626 0.31799E+00
Z,T,P    56.20  210.144 0.28533E+00
Z,T,P    56.87  208.415 0.25592E+00
Z,T,P    57.52  206.341 0.22946E+00
Z,T,P    58.18  203.799 0.20566E+00
Z,T,P    58.82  200.657 0.18425E+00
Z,T,P    59.46  196.816 0.16502E+00
Z,T,P    60.09  192.255 0.14773E+00
Z,T,P    60.70  187.023 0.13221E+00
Z,T,P    61.30  181.351 0.11827E+00
Z,T,P    61.88  175.602 0.10576E+00
