
H2CO                PRODUCTION RXS              INT RX RATE    TP =  2.92E+11
  60) CH4     + O1D     = H2CO    + H2           2.589E+09
  62) CH21    + O2      = H2CO    + O            4.455E-07
  66) CH23    + O2      = H2CO    + O            3.424E-07
  68) CH3     + OH      = H2CO    + H2           4.029E+07
  69) CH3     + O       = H2CO    + H            1.587E+09
  70) CH3     + O3      = H2CO    + HO2          9.906E+07
  74) H3CO    + O2      = H2CO    + HO2          2.872E+11
  75) H3CO    + O       = H2CO    + OH           1.030E+06
  76) H3CO    + OH      = H2CO    + H2O          1.586E+08

H2CO                   LOSS RXS                INT RX RATE    TL =  6.99E+10
  38) H2CO    + HV      = H2      + CO           5.672E+09
  39) H2CO    + HV      = HCO     + H            5.382E+09
  41) H2CO    + H       = H2      + HCO          1.678E+07
  45) H2CO    + OH      = H2O     + HCO          4.562E+10
  48) H2CO    + O       = HCO     + OH           3.419E+09
 109) CL      + H2CO    = HCL     + HCO          2.733E+05
 185) HS      + H2CO    = H2S     + HCO          2.041E+04

O                   PRODUCTION RXS              INT RX RATE    TP =  3.34E+13
   8) H       + HO2     = H2O     + O            3.859E+07
  20) OH      + OH      = H2O     + O            2.023E+08
  21) O1D     + N2      = O       + N2           1.255E+13
  22) O1D     + O2      = O       + O2           4.062E+11
  23) O2      + HV      = O       + O1D          2.219E-08
  24) O2      + HV      = O       + O            1.249E+12
  27) O3      + HV      = O2      + O            1.788E+13
  29) CO2     + HV      = CO      + O            5.781E+10
  50) HO2     + HV      = OH      + O            8.175E+08
  53) N2O     + HV      = N2      + O            3.144E+09
  56) NO      + HV      = N       + O            1.407E+04
  57) NO2     + HV      = NO      + O            8.183E+09
  62) CH21    + O2      = H2CO    + O            4.455E-07
  66) CH23    + O2      = H2CO    + O            3.424E-07
  79) N       + O2      = NO      + O            9.265E+03
  82) N       + NO      = N2      + O            4.231E+00
 133) CLO2    + HV      = CLO     + O            2.906E-02
 151) NO3     + HV      = NO2     + O            8.999E+08
 157) SO2     + HV      = SO      + O            2.036E+06
 159) SO      + O2      = O       + SO2          3.296E+06
 180) S       + O2      = SO      + O            8.727E+05
 194) SO21    + O2      = SO3     + O            1.340E+02
 211) HSO     + HV      = HS      + O            3.091E+04

O                      LOSS RXS                INT RX RATE    TL =  3.38E+13
   3) H2      + O       = OH      + H            1.394E+05
  10) OH      + O       = H       + O2           1.778E+11
  13) HO2     + O       = OH      + O2           2.890E+11
  17) O       + O       = O2      +              7.893E+06
  18) O       + O2      = O3      +              3.332E+13
  19) O       + O3      = O2      + O2           1.002E+09
  31) CO      + O       = CO2     +              3.390E+05
  36) O       + HCO     = H       + CO2          1.343E+06
