SIZE INTERVAL       0
    WAVl        QEXT      W0      gf
      0.25630000   0.00054196342      0.99999152     0.011285780
      0.27950000   0.00036275997      0.99999198    0.0094443945
      0.29650000   0.00027753676      0.99999265    0.0083698446
      0.31860000   0.00020136204      0.99999297    0.0072288244
      0.33550000   0.00016028902      0.99999251    0.0065074430
      0.36500000   0.00011100448      0.99999233    0.0054845911
      0.42000000   6.0738298e-05      0.99999308    0.0041285450
      0.49500000   3.0290913e-05      0.99999270    0.0029633228
      0.54480000   2.0256639e-05      0.99997082    0.0024427485
      0.55810000   1.8312425e-05      0.99996132    0.0023269143
      0.58580000   1.4958197e-05      0.99991274    0.0021106576
      0.61500000   1.2214395e-05      0.99974999    0.0019137775
      0.64590000   9.9611218e-06      0.99964604    0.0017339891
      0.67900000   8.0981540e-06      0.99941894    0.0015681678
      0.72100000   6.3309396e-06      0.99757250    0.0013899470
      0.76800000   4.8972595e-06      0.99418669    0.0012243256
      0.81300000   3.8771063e-06      0.99366672    0.0010920174
      0.86700000   3.0176686e-06      0.98040483   0.00095972864
      0.92600000   2.4343214e-06      0.92762744   0.00084089235
       1.0000000   2.0736405e-06      0.79432496   0.00072060839
       1.0500000   1.5402955e-06      0.87520875   0.00065335453
       1.1000000   1.3374104e-06      0.83243141   0.00059506961
       1.1700000   2.2320479e-06      0.38682980   0.00052569795
       1.2500000   1.9112098e-06      0.34377163   0.00046025927
       1.3700000   6.3078681e-06     0.071161816   0.00038274525
       1.5000000   2.1729677e-05     0.014168398   0.00031892978
       1.6300000   7.3137366e-06     0.029613321   0.00026969668
       1.7700000   9.2395236e-06     0.016422400   0.00022827636
       1.9400000   0.00014228554   0.00071312224   0.00018953162
       2.1100000   3.0112210e-05    0.0023004093   0.00015970508
       2.3400000   3.7778207e-05    0.0010834998   0.00012887873
       2.5700000   0.00013449714   0.00016141363   0.00010520882
       2.7900000    0.0061404284   1.3142540e-06   8.5005945e-05
       3.0800000    0.0089064630   4.4614111e-06   7.9595388e-05
       3.4100000   0.00069739763   2.6093350e-05   6.4274572e-05
       3.7900000   0.00012454239   7.4110108e-05   5.0781904e-05
       4.0900000   0.00018972213   3.2360045e-05   4.3227864e-05
       4.3600000   0.00031312745   1.4235755e-05   3.7843183e-05
SIZE INTERVAL       1
    WAVl        QEXT      W0      gf
      0.25630000   0.00078597647      0.99999355     0.013585397
      0.27950000   0.00052607940      0.99999391     0.011370026
      0.29650000   0.00040248996      0.99999442     0.010077005
      0.31860000   0.00029202516      0.99999467    0.0087038164
      0.33550000   0.00023246314      0.99999432    0.0078355581
      0.36500000   0.00016099241      0.99999418    0.0066043235
      0.42000000   8.8095369e-05      0.99999475    0.0049717936
      0.49500000   4.3936980e-05      0.99999447    0.0035687984
      0.54480000   2.9383047e-05      0.99997790    0.0029419392
      0.55810000   2.6563026e-05      0.99997071    0.0028024506
      0.58580000   2.1697616e-05      0.99993392    0.0025420275
      0.61500000   1.7717129e-05      0.99981068    0.0023049331
      0.64590000   1.4448545e-05      0.99973199    0.0020884174
      0.67900000   1.1745814e-05      0.99956004    0.0018887181
      0.72100000   9.1785924e-06      0.99816132    0.0016740823
      0.76800000   7.0942863e-06      0.99559352    0.0014746165
      0.81300000   5.6158140e-06      0.99519909    0.0013152691
      0.86700000   4.3568842e-06      0.98509883    0.0011559429
      0.92600000   3.4693515e-06      0.94424837    0.0010128168
       1.0000000   2.8577832e-06      0.83616073   0.00086794543
       1.0500000   2.1667272e-06      0.90261233   0.00078694335
       1.1000000   1.8611389e-06      0.86781324   0.00071674320
       1.1700000   2.7550015e-06      0.45466973   0.00063318934
       1.2500000   2.3299095e-06      0.40910631   0.00055437197
       1.3700000   7.0824466e-06     0.091948784   0.00046100984
       1.5000000   2.3960062e-05     0.018641813   0.00038414645
       1.6300000   8.1041674e-06     0.038772327   0.00032484667
       1.7700000   1.0194866e-05     0.021592850   0.00027495694
       1.9400000   0.00015620546   0.00094239963   0.00022828968
       2.1100000   3.3074578e-05    0.0030385123   0.00019236410
       2.3400000   4.1477915e-05    0.0014317309   0.00015523418
       2.5700000   0.00014762306   0.00021335694   0.00012672407
       2.7900000    0.0067392182   1.7372909e-06   0.00010239011
       3.0800000    0.0097752666   5.8974763e-06   9.5872329e-05
       3.4100000   0.00076542360   3.4492469e-05   7.7418624e-05
       3.7900000   0.00013669142   9.7964366e-05   6.1166812e-05
       4.0900000   0.00020822574   4.2776701e-05   5.2068005e-05
       4.3600000   0.00034366385   1.8818387e-05   4.5582169e-05
SIZE INTERVAL       2
    WAVl        QEXT      W0      gf
      0.25630000    0.0011397145      0.99999509     0.016351973
      0.27950000   0.00076284106      0.99999537     0.013687110
      0.29650000   0.00058363801      0.99999576     0.012131434
      0.31860000   0.00042346841      0.99999595     0.010479063
      0.33550000   0.00033710516      0.99999569    0.0094341515
      0.36500000   0.00023347259      0.99999558    0.0079522435
      0.42000000   0.00012776621      0.99999602    0.0059870351
      0.49500000   6.3727545e-05      0.99999581    0.0042978625
      0.54480000   4.2619582e-05      0.99998326    0.0035430580
      0.55810000   3.8529477e-05      0.99997781    0.0033750923
      0.58580000   3.1472503e-05      0.99994995    0.0030614964
      0.61500000   2.5698438e-05      0.99985662    0.0027759849
      0.64590000   2.0957324e-05      0.99979703    0.0025152483
      0.67900000   1.7036603e-05      0.99966684    0.0022747576
      0.72100000   1.3308692e-05      0.99860732    0.0020162736
      0.76800000   1.0280246e-05      0.99666062    0.0017760538
      0.81300000   8.1371291e-06      0.99636165    0.0015841455
      0.86700000   6.2975418e-06      0.98868028    0.0013922598
      0.92600000   4.9647442e-06      0.95722464    0.0012198822
       1.0000000   3.9806241e-06      0.87086189    0.0010454000
       1.0500000   3.0688598e-06      0.92451254   0.00094784057
       1.1000000   2.6131895e-06      0.89664612   0.00086329041
       1.1700000   3.4665123e-06      0.52422184   0.00076265605
       1.2500000   2.8941253e-06      0.47780509   0.00066772568
       1.3700000   8.0043397e-06      0.11803208   0.00055527615
       1.5000000   2.6457897e-05     0.024491756   0.00046269765
       1.6300000   9.0064225e-06     0.050615002   0.00039127327
       1.7700000   1.1267804e-05     0.028343614   0.00033118263
       1.9400000   0.00017150240    0.0012452764   0.00027497308
       2.1100000   3.6337446e-05    0.0040124229   0.00023170145
       2.3400000   4.5545476e-05    0.0018916448   0.00018697909
       2.5700000   0.00016203379   0.00028200798   0.00015263911
       2.7900000    0.0073964233   2.2964759e-06   0.00012332946
       3.0800000     0.010728919   7.7957226e-06   0.00011547770
       3.4100000   0.00084009267   4.5594733e-05   9.3250531e-05
       3.7900000   0.00015002742   0.00012949506   7.3675398e-05
       4.0900000   0.00022853562   5.6546024e-05   6.2715926e-05
       4.3600000   0.00037717993   2.4876080e-05   5.4903758e-05
SIZE INTERVAL       3
    WAVl        QEXT      W0      gf
      0.25630000    0.0016523820      0.99999625     0.019679840
      0.27950000    0.0011059920      0.99999647     0.016474833
      0.29650000   0.00084619862      0.99999677     0.014603448
      0.31860000   0.00061399956      0.99999692     0.012615426
      0.33550000   0.00048879541      0.99999672     0.011358090
      0.36500000   0.00033855024      0.99999665    0.0095746913
      0.42000000   0.00018528693      0.99999698    0.0072092530
      0.49500000   9.2426923e-05      0.99999682    0.0051756896
      0.54480000   6.1815914e-05      0.99998731    0.0042668814
      0.55810000   5.5884136e-05      0.99998319    0.0040646359
      0.58580000   4.5649190e-05      0.99996208    0.0036870297
      0.61500000   3.7274117e-05      0.99989138    0.0033432299
      0.64590000   3.0397530e-05      0.99984626    0.0030292541
      0.67900000   2.4710383e-05      0.99974767    0.0027396506
      0.72100000   1.9298727e-05      0.99894507    0.0024283715
      0.76800000   1.4900452e-05      0.99746958    0.0021390796
      0.81300000   1.1793484e-05      0.99724310    0.0019079633
      0.86700000   9.1103799e-06      0.99140743    0.0016768699
      0.92600000   7.1273079e-06      0.96728204    0.0014692667
       1.0000000   5.5933301e-06      0.89909217    0.0012591254
       1.0500000   4.3702721e-06      0.94180101    0.0011416260
       1.1000000   3.6956900e-06      0.91976591    0.0010397939
       1.1700000   4.4469409e-06      0.59283121   0.00091858898
       1.2500000   3.6652121e-06      0.54733984   0.00080425287
       1.3700000   9.1202240e-06      0.15028384   0.00066881495
       1.5000000   2.9271666e-05     0.032116151   0.00055730920
       1.6300000   1.0047036e-05     0.065825155   0.00047128178
       1.7700000   1.2480788e-05     0.037123838   0.00039890488
       1.9400000   0.00018831906    0.0016452956   0.00033120222
       2.1100000   3.9935290e-05    0.0052967309   0.00027908262
       2.3400000   5.0019892e-05    0.0024988869   0.00022521548
       2.5700000   0.00017785668   0.00037273551   0.00018385366
       2.7900000    0.0081177502   3.0356140e-06   0.00014855109
       3.0800000     0.011775738   1.0304857e-05   0.00013909207
       3.4100000   0.00092205635   6.0269844e-05   0.00011231990
       3.7900000   0.00016466709   0.00017117138   8.8741921e-05
       4.0900000   0.00025082871   7.4746800e-05   7.5541315e-05
       4.3600000   0.00041396706   3.2883543e-05   6.6131602e-05
SIZE INTERVAL       4
    WAVl        QEXT      W0      gf
      0.25630000    0.0023951127      0.99999714     0.023682341
      0.27950000    0.0016031848      0.99999731     0.019828329
      0.29650000    0.0012266558      0.99999754     0.017577523
      0.31860000   0.00089011425      0.99999765     0.015186033
      0.33550000   0.00070863955      0.99999751     0.013673307
      0.36500000   0.00049085770      0.99999745     0.011527364
      0.42000000   0.00026867724      0.99999771    0.0086805109
      0.49500000   0.00013404113      0.99999759    0.0062325618
      0.54480000   8.9653052e-05      0.99999038    0.0051384063
      0.55810000   8.1051102e-05      0.99998725    0.0048949005
      0.58580000   6.6208339e-05      0.99997126    0.0044402453
      0.61500000   5.4061763e-05      0.99991769    0.0040262799
      0.64590000   4.4088602e-05      0.99988352    0.0036482130
      0.67900000   3.5839880e-05      0.99980885    0.0032994828
      0.72100000   2.7986048e-05      0.99920081    0.0029246403
      0.76800000   2.1600642e-05      0.99808261    0.0025762644
      0.81300000   1.7095958e-05      0.99791111    0.0022979385
      0.86700000   1.3188016e-05      0.99348097    0.0020196339
      0.92600000   1.0256921e-05      0.97503336    0.0017696131
       1.0000000   7.9150087e-06      0.92169827    0.0015165304
       1.0500000   6.2501415e-06      0.95531721    0.0013750183
       1.1000000   5.2566980e-06      0.93806598    0.0012523741
       1.1700000   5.8123961e-06      0.65798387    0.0011063960
       1.2500000   4.7317523e-06      0.61505852   0.00096868912
       1.3700000   1.0495872e-05      0.18944646   0.00080556516
       1.5000000   3.2464631e-05     0.042009926   0.00067126388
       1.6300000   1.1262161e-05     0.085192764   0.00056764861
       1.7700000   1.3863392e-05     0.048486681   0.00048047398
       1.9400000   0.00020681575    0.0021734719   0.00039892869
       2.1100000   4.3908258e-05    0.0069890741   0.00033615224
