    n     flux[photons/s/cm^2]     w-range[A]
      1  5.7224300E+05       1754.       1770.
      2  8.5237069E+05       1770.       1786.
      3  1.2770820E+06       1786.       1802.
      4  1.3454485E+06       1802.       1818.
      5  1.7054709E+06       1818.       1835.
      6  1.9341930E+06       1835.       1852.
      7  2.8010930E+06       1852.       1869.
      8  2.2072575E+06       1869.       1887.
      9  4.7043205E+06       1887.       1905.
     10  4.3589615E+06       1905.       1923.
     11  1.0577299E+07       1923.       1942.
     12  1.1278054E+07       1942.       1961.
     13  1.5024886E+07       1961.       1980.
     14  2.0652966E+07       1980.       2000.
     15  2.5994006E+07       2000.       2020.
     16  3.2168384E+07       2020.       2041.
     17  3.9471900E+07       2041.       2062.
     18  4.8115676E+07       2062.       2083.
     19  9.3378376E+07       2083.       2105.
     20  8.7743144E+07       2105.       2128.
     21  1.3082959E+08       2128.       2151.
     22  1.2550528E+08       2151.       2174.
     23  2.3636696E+08       2174.       2200.
     24  1.9034400E+08       2200.       2222.
     25  4.3059702E+08       2222.       2247.
     26  3.0767446E+08       2247.       2273.
     27  5.7657594E+08       2273.       2299.
     28  8.7845062E+08       2299.       2326.
     29  1.2931310E+09       2326.       2353.
     30  9.5806240E+08       2353.       2381.
     31  2.0980402E+09       2381.       2410.
     32  3.4001620E+09       2410.       2439.
     33  4.7536169E+09       2439.       2469.
     34  4.3220808E+09       2469.       2500.
     35  6.4077363E+09       2500.       2532.
     36  1.0455951E+10       2532.       2564.
     37  9.4775624E+09       2564.       2597.
     38  3.6458770E+10       2597.       2632.
     39  3.3045400E+10       2632.       2667.
     40  5.3351043E+10       2667.       2703.
     41  6.3271158E+10       2703.       2740.
     42  8.7735902E+10       2740.       2778.
     43  8.2272109E+10       2778.       2817.
     44  8.3998728E+10       2817.       2857.
     45  2.5041388E+11       2857.       2899.
     46  3.4657691E+11       2899.       2941.
     47  3.8096467E+11       2941.       2985.
     48  3.7209077E+11       2985.       3030.
     49  5.2867043E+11       3030.       3077.
     50  5.7863838E+11       3077.       3125.
     51  1.4752289E+12       3125.       3175.
     52  2.4126229E+12       3175.       3225.
     53  2.4095833E+12       3225.       3275.
     54  6.3911153E+12       3275.       3325.
     55  5.7702519E+12       3325.       3375.
     56  6.0867200E+12       3375.       3425.
     57  1.9559563E+12       3425.       3450.
     58  1.5351516E+13       3450.       3550.
     59  1.4963702E+13       3550.       3650.
     60  2.5062063E+13       3650.       3750.
     61  3.3959017E+13       3750.       3850.
     62  2.8349271E+13       3850.       3950.
     63  6.7610532E+13       3950.       4050.
     64  1.0126298E+14       4050.       4150.
     65  7.2764069E+13       4150.       4250.
     66  8.9601616E+13       4250.       4350.
     67  1.5132733E+14       4350.       4450.
     68  1.7270407E+14       4450.       4550.
     69  2.2099506E+14       4550.       4650.
     70  2.3142205E+14       4650.       4750.
     71  2.2098696E+14       4750.       4850.
     72  2.9348622E+14       4850.       4950.
     73  2.1615883E+14       4950.       5050.
     74  2.2444835E+14       5050.       5150.
     75  2.2654127E+14       5150.       5250.
     76  3.6348580E+14       5250.       5350.
     77  4.2329849E+14       5350.       5450.
     78  4.0743805E+14       5450.       5550.
     79  4.1717826E+14       5550.       5650.
     80  5.0662860E+14       5650.       5750.
     81  5.7477527E+14       5750.       5850.
     82  4.1366511E+14       5850.       5950.
     83  5.6225306E+14       5950.       6050.
     84  6.3095063E+14       6050.       6150.
     85  4.5027679E+14       6150.       6250.
     86  5.3511712E+14       6250.       6350.
     87  5.8220456E+14       6350.       6450.
     88  6.4591288E+14       6450.       6550.
     89  7.4855200E+14       6550.       6650.
     90  6.3360680E+14       6650.       6750.
     91  6.0788840E+14       6750.       6850.
     92  6.0820810E+14       6850.       6950.
     93  8.5023736E+14       6950.       7050.
     94  6.9573920E+14       7050.       7150.
     95  7.2192602E+14       7150.       7250.
     96  9.9119732E+14       7250.       7350.
     97  1.1356638E+15       7350.       7450.
     98  1.1938541E+15       7450.       7550.
     99  1.1570547E+15       7550.       7650.
    100  1.0417895E+15       7650.       7750.
    101  1.0912254E+15       7750.       7850.
    102  1.1577923E+15       7850.       7950.
    103  1.2493671E+15       7950.       8050.
    104  1.3048584E+15       8050.       8150.
    105  1.2916114E+15       8150.       8250.
    106  1.3097224E+15       8250.       8350.
    107  1.2585637E+15       8350.       8450.
    108  1.2484132E+15       8450.       8550.
