
!Atmospheric profiles.  The three columns are:
!geometric altitude (km),temperature (K),pressure (millibars)
!        alt(km)  T(K)   P(mbar)
Z,T,P     0.00  302.679 0.10416E+04
Z,T,P     0.47  300.969 0.98806E+03
Z,T,P     1.40  297.529 0.88903E+03
Z,T,P     2.31  294.068 0.79993E+03
Z,T,P     3.22  290.545 0.71976E+03
Z,T,P     4.11  286.951 0.64763E+03
Z,T,P     4.99  283.293 0.58272E+03
Z,T,P     5.86  279.545 0.52432E+03
Z,T,P     6.71  275.651 0.47177E+03
Z,T,P     7.55  271.757 0.42449E+03
Z,T,P     8.38  267.990 0.38195E+03
Z,T,P     9.20  263.966 0.34367E+03
Z,T,P    10.01  259.634 0.30922E+03
Z,T,P    10.80  254.939 0.27823E+03
Z,T,P    11.57  249.996 0.25035E+03
Z,T,P    12.34  246.003 0.22526E+03
Z,T,P    13.09  243.422 0.20268E+03
Z,T,P    13.83  241.431 0.18237E+03
Z,T,P    14.57  239.562 0.16409E+03
Z,T,P    15.31  238.034 0.14765E+03
Z,T,P    16.03  236.808 0.13285E+03
Z,T,P    16.76  235.711 0.11953E+03
Z,T,P    17.48  234.631 0.10755E+03
Z,T,P    18.20  233.540 0.96775E+02
Z,T,P    18.92  232.453 0.87076E+02
Z,T,P    19.63  231.499 0.78349E+02
Z,T,P    20.34  230.665 0.70497E+02
Z,T,P    21.05  229.844 0.63431E+02
Z,T,P    21.75  229.027 0.57074E+02
Z,T,P    22.46  228.185 0.51354E+02
Z,T,P    23.16  227.401 0.46207E+02
Z,T,P    23.85  226.848 0.41576E+02
Z,T,P    24.55  226.492 0.37409E+02
Z,T,P    25.25  226.224 0.33660E+02
Z,T,P    25.94  226.043 0.30287E+02
Z,T,P    26.64  225.945 0.27251E+02
Z,T,P    27.33  225.910 0.24520E+02
Z,T,P    28.02  225.911 0.22063E+02
Z,T,P    28.72  225.904 0.19851E+02
Z,T,P    29.41  225.843 0.17862E+02
Z,T,P    30.11  225.689 0.16072E+02
Z,T,P    30.80  225.419 0.14461E+02
Z,T,P    31.49  225.040 0.13012E+02
Z,T,P    32.18  224.592 0.11708E+02
Z,T,P    32.87  224.150 0.10534E+02
Z,T,P    33.56  223.806 0.94785E+01
Z,T,P    34.25  223.596 0.85286E+01
Z,T,P    34.93  223.478 0.76738E+01
Z,T,P    35.62  223.431 0.69047E+01
Z,T,P    36.31  223.453 0.62127E+01
Z,T,P    36.99  223.531 0.55901E+01
Z,T,P    37.68  223.667 0.50298E+01
Z,T,P    38.37  223.853 0.45257E+01
Z,T,P    39.06  224.066 0.40722E+01
Z,T,P    39.75  224.300 0.36640E+01
Z,T,P    40.44  224.583 0.32968E+01
Z,T,P    41.13  224.925 0.29664E+01
Z,T,P    41.82  225.314 0.26691E+01
Z,T,P    42.51  225.738 0.24016E+01
Z,T,P    43.21  226.180 0.21609E+01
Z,T,P    43.90  226.622 0.19443E+01
Z,T,P    44.60  227.034 0.17495E+01
Z,T,P    45.30  227.385 0.15741E+01
Z,T,P    46.00  227.665 0.14164E+01
Z,T,P    46.70  227.871 0.12744E+01
Z,T,P    47.40  228.003 0.11467E+01
Z,T,P    48.10  228.118 0.10318E+01
Z,T,P    48.80  228.251 0.92837E+00
Z,T,P    49.50  228.347 0.83533E+00
Z,T,P    50.20  228.374 0.75161E+00
Z,T,P    50.90  228.329 0.67628E+00
Z,T,P    51.61  228.203 0.60850E+00
Z,T,P    52.31  227.974 0.54752E+00
Z,T,P    53.01  227.617 0.49264E+00
Z,T,P    53.70  227.132 0.44327E+00
Z,T,P    54.40  226.528 0.39884E+00
Z,T,P    55.10  225.815 0.35887E+00
Z,T,P    55.79  225.003 0.32290E+00
Z,T,P    56.48  224.106 0.29054E+00
Z,T,P    57.17  223.140 0.26142E+00
Z,T,P    57.85  222.117 0.23522E+00
Z,T,P    58.53  221.049 0.21165E+00
Z,T,P    59.21  219.948 0.19044E+00
Z,T,P    59.88  218.834 0.17135E+00
Z,T,P    60.55  217.706 0.15418E+00
Z,T,P    61.22  216.555 0.13873E+00
Z,T,P    61.88  215.394 0.12482E+00
Z,T,P    62.55  214.213 0.11231E+00
Z,T,P    63.20  212.981 0.10106E+00
Z,T,P    63.85  211.682 0.90928E-01
Z,T,P    64.50  210.274 0.81815E-01
Z,T,P    65.15  208.665 0.73616E-01
Z,T,P    65.78  206.720 0.66238E-01
Z,T,P    66.42  204.262 0.59599E-01
Z,T,P    67.04  201.080 0.53626E-01
Z,T,P    67.65  196.945 0.48252E-01
Z,T,P    68.25  191.884 0.43416E-01
Z,T,P    68.83  186.339 0.39065E-01
Z,T,P    69.39  180.792 0.35149E-01
Z,T,P    69.94  175.370 0.31627E-01
