
!Atmospheric profiles.  The three columns are:
!geometric altitude (km),temperature (K),pressure (millibars)
!        alt(km)  T(K)   P(mbar)
Z,T,P     0.00  288.124 0.10170E+04
Z,T,P     0.39  286.221 0.97072E+03
Z,T,P     1.16  282.340 0.88433E+03
Z,T,P     1.93  278.337 0.80563E+03
Z,T,P     2.68  274.180 0.73394E+03
Z,T,P     3.42  270.118 0.66862E+03
Z,T,P     4.14  265.913 0.60912E+03
Z,T,P     4.86  261.408 0.55491E+03
Z,T,P     5.56  256.582 0.50553E+03
Z,T,P     6.25  251.433 0.46054E+03
Z,T,P     6.93  245.992 0.41956E+03
Z,T,P     7.59  240.321 0.38222E+03
Z,T,P     8.23  234.501 0.34820E+03
Z,T,P     8.86  228.620 0.31722E+03
Z,T,P     9.47  222.750 0.28899E+03
Z,T,P    10.07  217.670 0.26327E+03
Z,T,P    10.65  214.332 0.23984E+03
Z,T,P    11.23  212.412 0.21850E+03
Z,T,P    11.80  211.060 0.19905E+03
Z,T,P    12.37  209.989 0.18134E+03
Z,T,P    12.94  209.119 0.16520E+03
Z,T,P    13.51  208.397 0.15050E+03
Z,T,P    14.07  207.777 0.13711E+03
Z,T,P    14.64  207.246 0.12490E+03
Z,T,P    15.20  206.827 0.11379E+03
Z,T,P    15.76  206.558 0.10366E+03
Z,T,P    16.32  206.461 0.94437E+02
Z,T,P    16.88  206.538 0.86033E+02
Z,T,P    17.44  206.792 0.78376E+02
Z,T,P    18.00  207.226 0.71401E+02
Z,T,P    18.56  207.822 0.65047E+02
Z,T,P    19.13  208.552 0.59259E+02
Z,T,P    19.69  209.397 0.53985E+02
Z,T,P    20.26  210.346 0.49181E+02
Z,T,P    20.83  211.392 0.44804E+02
Z,T,P    21.41  212.528 0.40817E+02
Z,T,P    21.99  213.756 0.37184E+02
Z,T,P    22.57  215.076 0.33875E+02
Z,T,P    23.15  216.489 0.30861E+02
Z,T,P    23.74  217.981 0.28114E+02
Z,T,P    24.33  219.529 0.25612E+02
Z,T,P    24.93  221.107 0.23333E+02
Z,T,P    25.53  222.688 0.21256E+02
Z,T,P    26.14  224.233 0.19365E+02
Z,T,P    26.75  225.699 0.17641E+02
Z,T,P    27.36  227.060 0.16072E+02
Z,T,P    27.98  228.312 0.14641E+02
Z,T,P    28.60  229.458 0.13338E+02
Z,T,P    29.22  230.524 0.12151E+02
Z,T,P    29.85  231.571 0.11070E+02
Z,T,P    30.48  232.690 0.10085E+02
Z,T,P    31.11  233.947 0.91873E+01
Z,T,P    31.75  235.304 0.83697E+01
Z,T,P    32.39  236.706 0.76249E+01
Z,T,P    33.03  238.156 0.69463E+01
Z,T,P    33.68  239.668 0.63281E+01
Z,T,P    34.33  241.241 0.57650E+01
Z,T,P    34.99  242.867 0.52519E+01
Z,T,P    35.65  244.543 0.47846E+01
Z,T,P    36.31  246.267 0.43588E+01
Z,T,P    36.98  248.029 0.39709E+01
Z,T,P    37.66  249.832 0.36175E+01
Z,T,P    38.34  251.698 0.32956E+01
Z,T,P    39.02  253.644 0.30023E+01
Z,T,P    39.72  255.664 0.27351E+01
Z,T,P    40.41  257.739 0.24917E+01
Z,T,P    41.11  259.845 0.22700E+01
Z,T,P    41.82  261.921 0.20679E+01
Z,T,P    42.53  263.895 0.18839E+01
Z,T,P    43.25  265.726 0.17163E+01
Z,T,P    43.97  267.312 0.15635E+01
Z,T,P    44.70  268.542 0.14244E+01
Z,T,P    45.43  269.459 0.12976E+01
Z,T,P    46.16  270.147 0.11821E+01
Z,T,P    46.89  270.565 0.10769E+01
Z,T,P    47.63  270.733 0.98110E+00
Z,T,P    48.36  270.759 0.89379E+00
Z,T,P    49.10  270.574 0.81425E+00
Z,T,P    49.83  270.082 0.74179E+00
Z,T,P    50.56  269.369 0.67577E+00
Z,T,P    51.29  268.499 0.61563E+00
Z,T,P    52.02  267.447 0.56085E+00
Z,T,P    52.74  266.231 0.51094E+00
Z,T,P    53.46  264.830 0.46547E+00
Z,T,P    54.18  263.194 0.42404E+00
Z,T,P    54.89  261.392 0.38631E+00
Z,T,P    55.59  259.425 0.35193E+00
Z,T,P    56.29  257.197 0.32061E+00
Z,T,P    56.99  254.752 0.29208E+00
Z,T,P    57.67  252.157 0.26608E+00
Z,T,P    58.35  249.383 0.24241E+00
Z,T,P    59.03  246.417 0.22083E+00
Z,T,P    59.69  243.266 0.20118E+00
Z,T,P    60.34  239.978 0.18328E+00
Z,T,P    60.99  236.603 0.16697E+00
Z,T,P    61.63  233.177 0.15211E+00
Z,T,P    62.26  229.763 0.13857E+00
Z,T,P    62.87  226.334 0.12624E+00
Z,T,P    63.48  222.221 0.11501E+00
Z,T,P    64.08  216.884 0.10477E+00
