
!Atmospheric profiles.  The three columns are:
!geometric altitude (km),temperature (K),pressure (millibars)
!        alt(km)  T(K)   P(mbar)
Z,T,P     0.00  283.186 0.10123E+04
Z,T,P     0.34  281.363 0.97162E+03
Z,T,P     1.01  277.643 0.89507E+03
Z,T,P     1.67  273.806 0.82456E+03
Z,T,P     2.32  270.096 0.75959E+03
Z,T,P     2.96  266.237 0.69975E+03
Z,T,P     3.59  262.142 0.64462E+03
Z,T,P     4.21  257.801 0.59384E+03
Z,T,P     4.82  253.218 0.54705E+03
Z,T,P     5.42  248.418 0.50395E+03
Z,T,P     6.01  243.439 0.46425E+03
Z,T,P     6.58  238.337 0.42767E+03
Z,T,P     7.14  233.170 0.39398E+03
Z,T,P     7.69  227.991 0.36294E+03
Z,T,P     8.23  222.842 0.33435E+03
Z,T,P     8.76  218.237 0.30801E+03
Z,T,P     9.28  214.945 0.28374E+03
Z,T,P     9.79  212.961 0.26139E+03
Z,T,P    10.29  211.674 0.24079E+03
Z,T,P    10.80  210.750 0.22182E+03
Z,T,P    11.30  210.104 0.20435E+03
Z,T,P    11.80  209.699 0.18825E+03
Z,T,P    12.30  209.472 0.17342E+03
Z,T,P    12.80  209.357 0.15975E+03
Z,T,P    13.30  209.339 0.14717E+03
Z,T,P    13.80  209.432 0.13557E+03
Z,T,P    14.30  209.632 0.12489E+03
Z,T,P    14.80  209.922 0.11505E+03
Z,T,P    15.30  210.283 0.10599E+03
Z,T,P    15.81  210.702 0.97639E+02
Z,T,P    16.31  211.177 0.89947E+02
Z,T,P    16.81  211.712 0.82860E+02
Z,T,P    17.32  212.308 0.76332E+02
Z,T,P    17.83  212.962 0.70319E+02
Z,T,P    18.34  213.674 0.64779E+02
Z,T,P    18.85  214.441 0.59675E+02
Z,T,P    19.36  215.263 0.54974E+02
Z,T,P    19.88  216.151 0.50643E+02
Z,T,P    20.39  217.110 0.46653E+02
Z,T,P    20.91  218.156 0.42977E+02
Z,T,P    21.43  219.298 0.39591E+02
Z,T,P    21.96  220.537 0.36472E+02
Z,T,P    22.49  221.870 0.33599E+02
Z,T,P    23.02  223.296 0.30952E+02
Z,T,P    23.55  224.807 0.28513E+02
Z,T,P    24.09  226.401 0.26267E+02
Z,T,P    24.63  228.089 0.24198E+02
Z,T,P    25.18  229.879 0.22291E+02
Z,T,P    25.73  231.763 0.20535E+02
Z,T,P    26.29  233.735 0.18917E+02
Z,T,P    26.85  235.789 0.17427E+02
Z,T,P    27.41  237.930 0.16054E+02
Z,T,P    27.98  240.158 0.14789E+02
Z,T,P    28.56  242.476 0.13624E+02
Z,T,P    29.14  244.888 0.12551E+02
Z,T,P    29.73  247.406 0.11562E+02
Z,T,P    30.32  250.058 0.10651E+02
Z,T,P    30.92  252.861 0.98118E+01
Z,T,P    31.53  255.811 0.90388E+01
Z,T,P    32.15  258.882 0.83267E+01
Z,T,P    32.77  262.040 0.76707E+01
Z,T,P    33.40  265.271 0.70664E+01
Z,T,P    34.03  268.554 0.65097E+01
Z,T,P    34.68  271.870 0.59968E+01
Z,T,P    35.33  275.151 0.55244E+01
Z,T,P    35.99  278.314 0.50891E+01
Z,T,P    36.66  281.326 0.46882E+01
Z,T,P    37.34  284.227 0.43188E+01
Z,T,P    38.02  287.158 0.39786E+01
Z,T,P    38.71  290.086 0.36651E+01
Z,T,P    39.40  292.972 0.33764E+01
Z,T,P    40.11  295.934 0.31104E+01
Z,T,P    40.82  299.005 0.28653E+01
Z,T,P    41.53  302.203 0.26396E+01
Z,T,P    42.26  305.518 0.24316E+01
Z,T,P    42.99  308.826 0.22401E+01
Z,T,P    43.73  312.026 0.20636E+01
Z,T,P    44.48  314.997 0.19010E+01
Z,T,P    45.24  317.483 0.17512E+01
Z,T,P    46.00  319.571 0.16133E+01
Z,T,P    46.76  321.433 0.14862E+01
Z,T,P    47.53  322.785 0.13691E+01
Z,T,P    48.30  323.497 0.12612E+01
Z,T,P    49.07  323.771 0.11619E+01
Z,T,P    49.85  323.865 0.10703E+01
Z,T,P    50.62  323.724 0.98600E+00
Z,T,P    51.39  323.049 0.90832E+00
Z,T,P    52.16  321.981 0.83676E+00
Z,T,P    52.93  320.654 0.77084E+00
Z,T,P    53.69  318.993 0.71011E+00
Z,T,P    54.45  317.020 0.65416E+00
Z,T,P    55.21  314.616 0.60262E+00
Z,T,P    55.95  311.822 0.55515E+00
Z,T,P    56.69  308.798 0.51141E+00
Z,T,P    57.43  305.367 0.47112E+00
Z,T,P    58.15  301.110 0.43400E+00
Z,T,P    58.86  295.606 0.39981E+00
Z,T,P    59.56  289.107 0.36831E+00
Z,T,P    60.24  282.404 0.33930E+00
Z,T,P    60.91  275.818 0.31257E+00
