
!Atmospheric profiles.  The three columns are:
!geometric altitude (km),temperature (K),pressure (millibars)
!        alt(km)  T(K)   P(mbar)
Z,T,P     0.00  287.720 0.10166E+04
Z,T,P     0.39  285.809 0.97035E+03
Z,T,P     1.16  281.902 0.88400E+03
Z,T,P     1.92  277.866 0.80533E+03
Z,T,P     2.67  273.684 0.73366E+03
Z,T,P     3.41  269.630 0.66838E+03
Z,T,P     4.14  265.384 0.60890E+03
Z,T,P     4.85  260.839 0.55471E+03
Z,T,P     5.55  255.977 0.50535E+03
Z,T,P     6.24  250.801 0.46038E+03
Z,T,P     6.91  245.346 0.41941E+03
Z,T,P     7.57  239.678 0.38209E+03
Z,T,P     8.21  233.881 0.34809E+03
Z,T,P     8.84  228.036 0.31711E+03
Z,T,P     9.45  222.215 0.28889E+03
Z,T,P    10.04  216.978 0.26318E+03
Z,T,P    10.63  213.154 0.23976E+03
Z,T,P    11.20  210.765 0.21843E+03
Z,T,P    11.77  209.127 0.19899E+03
Z,T,P    12.34  207.831 0.18128E+03
Z,T,P    12.90  206.750 0.16515E+03
Z,T,P    13.46  205.827 0.15045E+03
Z,T,P    14.01  205.026 0.13706E+03
Z,T,P    14.57  204.327 0.12487E+03
Z,T,P    15.12  203.725 0.11375E+03
Z,T,P    15.67  203.245 0.10363E+03
Z,T,P    16.22  202.932 0.94410E+02
Z,T,P    16.77  202.812 0.86008E+02
Z,T,P    17.32  202.902 0.78354E+02
Z,T,P    17.87  203.201 0.71382E+02
Z,T,P    18.43  203.688 0.65030E+02
Z,T,P    18.98  204.328 0.59243E+02
Z,T,P    19.53  205.093 0.53971E+02
Z,T,P    20.09  205.960 0.49168E+02
Z,T,P    20.65  206.907 0.44792E+02
Z,T,P    21.21  207.910 0.40806E+02
Z,T,P    21.78  208.947 0.37175E+02
Z,T,P    22.35  210.012 0.33867E+02
Z,T,P    22.92  211.110 0.30853E+02
Z,T,P    23.49  212.241 0.28108E+02
Z,T,P    24.07  213.389 0.25606E+02
Z,T,P    24.65  214.534 0.23328E+02
Z,T,P    25.23  215.669 0.21252E+02
Z,T,P    25.82  216.798 0.19361E+02
Z,T,P    26.41  217.921 0.17638E+02
Z,T,P    27.00  219.030 0.16068E+02
Z,T,P    27.59  220.118 0.14638E+02
Z,T,P    28.19  221.177 0.13336E+02
Z,T,P    28.79  222.218 0.12149E+02
Z,T,P    29.40  223.261 0.11068E+02
Z,T,P    30.00  224.337 0.10083E+02
Z,T,P    30.61  225.467 0.91856E+01
Z,T,P    31.23  226.651 0.83682E+01
Z,T,P    31.84  227.877 0.76235E+01
Z,T,P    32.46  229.138 0.69451E+01
Z,T,P    33.09  230.425 0.63270E+01
Z,T,P    33.71  231.735 0.57640E+01
Z,T,P    34.34  233.061 0.52511E+01
Z,T,P    34.98  234.391 0.47838E+01
Z,T,P    35.61  235.719 0.43581E+01
Z,T,P    36.25  237.058 0.39703E+01
Z,T,P    36.90  238.425 0.36169E+01
Z,T,P    37.55  239.840 0.32951E+01
Z,T,P    38.20  241.330 0.30019E+01
Z,T,P    38.86  242.922 0.27347E+01
Z,T,P    39.52  244.633 0.24914E+01
Z,T,P    40.18  246.449 0.22697E+01
Z,T,P    40.85  248.327 0.20677E+01
Z,T,P    41.53  250.190 0.18837E+01
Z,T,P    42.21  251.955 0.17161E+01
Z,T,P    42.90  253.560 0.15633E+01
Z,T,P    43.58  254.921 0.14242E+01
Z,T,P    44.28  255.986 0.12975E+01
Z,T,P    44.97  256.756 0.11820E+01
Z,T,P    45.67  257.213 0.10768E+01
Z,T,P    46.37  257.403 0.98101E+00
Z,T,P    47.06  257.339 0.89371E+00
Z,T,P    47.76  257.005 0.81418E+00
Z,T,P    48.46  256.439 0.74172E+00
Z,T,P    49.15  255.644 0.67572E+00
Z,T,P    49.84  254.630 0.61559E+00
Z,T,P    50.53  253.432 0.56081E+00
Z,T,P    51.22  252.029 0.51090E+00
Z,T,P    51.90  250.427 0.46544E+00
Z,T,P    52.58  248.679 0.42402E+00
Z,T,P    53.25  246.764 0.38629E+00
Z,T,P    53.91  244.622 0.35191E+00
Z,T,P    54.57  242.242 0.32059E+00
Z,T,P    55.23  239.682 0.29206E+00
Z,T,P    55.87  236.967 0.26607E+00
Z,T,P    56.51  234.073 0.24240E+00
Z,T,P    57.14  231.027 0.22083E+00
Z,T,P    57.76  227.857 0.20117E+00
Z,T,P    58.38  224.553 0.18327E+00
Z,T,P    58.98  221.168 0.16696E+00
Z,T,P    59.58  217.749 0.15211E+00
Z,T,P    60.16  214.136 0.13857E+00
Z,T,P    60.74  209.939 0.12624E+00
Z,T,P    61.30  204.984 0.11500E+00
Z,T,P    61.85  199.635 0.10477E+00
