
!Atmospheric profiles.  The three columns are:
!geometric altitude (km),temperature (K),pressure (millibars)
!        alt(km)  T(K)   P(mbar)
Z,T,P     0.00  300.187 0.10361E+04
Z,T,P     0.46  298.423 0.98281E+03
Z,T,P     1.38  294.869 0.88436E+03
Z,T,P     2.29  291.243 0.79577E+03
Z,T,P     3.18  287.551 0.71605E+03
Z,T,P     4.06  283.787 0.64432E+03
Z,T,P     4.93  279.905 0.57978E+03
Z,T,P     5.79  275.874 0.52170E+03
Z,T,P     6.63  271.835 0.46944E+03
Z,T,P     7.46  267.905 0.42241E+03
Z,T,P     8.28  263.695 0.38010E+03
Z,T,P     9.08  259.150 0.34202E+03
Z,T,P     9.87  254.222 0.30776E+03
Z,T,P    10.64  248.878 0.27693E+03
Z,T,P    11.40  243.124 0.24919E+03
Z,T,P    12.13  237.021 0.22423E+03
Z,T,P    12.85  231.475 0.20177E+03
Z,T,P    13.56  227.905 0.18156E+03
Z,T,P    14.25  225.926 0.16337E+03
Z,T,P    14.95  224.396 0.14700E+03
Z,T,P    15.63  222.959 0.13228E+03
Z,T,P    16.31  221.623 0.11903E+03
Z,T,P    16.99  220.325 0.10710E+03
Z,T,P    17.67  219.008 0.96375E+02
Z,T,P    18.34  217.734 0.86721E+02
Z,T,P    19.01  216.603 0.78034E+02
Z,T,P    19.67  215.612 0.70217E+02
Z,T,P    20.33  214.732 0.63183E+02
Z,T,P    20.99  213.979 0.56854E+02
Z,T,P    21.64  213.381 0.51158E+02
Z,T,P    22.30  212.958 0.46034E+02
Z,T,P    22.95  212.717 0.41422E+02
Z,T,P    23.61  212.654 0.37273E+02
Z,T,P    24.26  212.756 0.33539E+02
Z,T,P    24.91  213.003 0.30180E+02
Z,T,P    25.57  213.357 0.27156E+02
Z,T,P    26.22  213.767 0.24436E+02
Z,T,P    26.88  214.181 0.21988E+02
Z,T,P    27.54  214.535 0.19786E+02
Z,T,P    28.20  214.789 0.17804E+02
Z,T,P    28.86  214.923 0.16020E+02
Z,T,P    29.52  214.909 0.14415E+02
Z,T,P    30.18  214.726 0.12971E+02
Z,T,P    30.83  214.399 0.11672E+02
Z,T,P    31.49  213.999 0.10503E+02
Z,T,P    32.15  213.591 0.94506E+01
Z,T,P    32.80  213.180 0.85039E+01
Z,T,P    33.46  212.716 0.76521E+01
Z,T,P    34.11  212.184 0.68855E+01
Z,T,P    34.76  211.595 0.61958E+01
Z,T,P    35.41  210.949 0.55751E+01
Z,T,P    36.06  210.245 0.50166E+01
Z,T,P    36.70  209.501 0.45141E+01
Z,T,P    37.34  208.748 0.40619E+01
Z,T,P    37.98  208.022 0.36550E+01
Z,T,P    38.62  207.355 0.32889E+01
Z,T,P    39.26  206.768 0.29594E+01
Z,T,P    39.89  206.277 0.26630E+01
Z,T,P    40.52  205.885 0.23962E+01
Z,T,P    41.16  205.575 0.21562E+01
Z,T,P    41.79  205.324 0.19402E+01
Z,T,P    42.42  205.099 0.17458E+01
Z,T,P    43.05  204.862 0.15709E+01
Z,T,P    43.68  204.590 0.14136E+01
Z,T,P    44.30  204.255 0.12720E+01
Z,T,P    44.93  203.857 0.11446E+01
Z,T,P    45.55  203.458 0.10299E+01
Z,T,P    46.18  203.085 0.92674E+00
Z,T,P    46.80  202.684 0.83390E+00
Z,T,P    47.42  202.234 0.75037E+00
Z,T,P    48.04  201.715 0.67520E+00
Z,T,P    48.66  201.092 0.60756E+00
Z,T,P    49.28  200.372 0.54670E+00
Z,T,P    49.89  199.561 0.49194E+00
Z,T,P    50.50  198.671 0.44266E+00
Z,T,P    51.11  197.733 0.39832E+00
Z,T,P    51.72  196.767 0.35842E+00
Z,T,P    52.32  195.805 0.32251E+00
Z,T,P    52.92  194.896 0.29020E+00
Z,T,P    53.52  194.031 0.26113E+00
Z,T,P    54.11  193.188 0.23498E+00
Z,T,P    54.71  192.388 0.21144E+00
Z,T,P    55.29  191.625 0.19026E+00
Z,T,P    55.88  190.852 0.17120E+00
Z,T,P    56.47  190.047 0.15405E+00
Z,T,P    57.05  189.175 0.13862E+00
Z,T,P    57.63  188.174 0.12473E+00
Z,T,P    58.20  186.966 0.11224E+00
Z,T,P    58.78  185.474 0.10099E+00
Z,T,P    59.34  183.629 0.90877E-01
Z,T,P    59.90  181.385 0.81773E-01
Z,T,P    60.46  178.769 0.73582E-01
Z,T,P    61.00  175.894 0.66211E-01
Z,T,P    61.54  172.912 0.59578E-01
Z,T,P    62.06  170.022 0.53610E-01
Z,T,P    62.58  167.223 0.48240E-01
Z,T,P    63.09  164.166 0.43408E-01
Z,T,P    63.59  160.519 0.39059E-01
Z,T,P    64.07  156.266 0.35147E-01
Z,T,P    64.55  151.683 0.31626E-01
