
!Atmospheric profiles.  The three columns are:
!geometric altitude (km),temperature (K),pressure (millibars)
!        alt(km)  T(K)   P(mbar)
Z,T,P     0.00  288.244 0.10172E+04
Z,T,P     0.39  286.347 0.97086E+03
Z,T,P     1.17  282.483 0.88446E+03
Z,T,P     1.93  278.500 0.80575E+03
Z,T,P     2.68  274.359 0.73404E+03
Z,T,P     3.42  270.324 0.66871E+03
Z,T,P     4.15  266.150 0.60920E+03
Z,T,P     4.86  261.684 0.55499E+03
Z,T,P     5.57  256.902 0.50560E+03
Z,T,P     6.26  251.803 0.46060E+03
Z,T,P     6.93  246.413 0.41961E+03
Z,T,P     7.59  240.793 0.38227E+03
Z,T,P     8.24  235.023 0.34825E+03
Z,T,P     8.87  229.187 0.31726E+03
Z,T,P     9.48  223.360 0.28902E+03
Z,T,P    10.08  218.294 0.26330E+03
Z,T,P    10.67  214.937 0.23987E+03
Z,T,P    11.25  213.018 0.21852E+03
Z,T,P    11.82  211.703 0.19908E+03
Z,T,P    12.40  210.689 0.18136E+03
Z,T,P    12.97  209.895 0.16522E+03
Z,T,P    13.53  209.270 0.15052E+03
Z,T,P    14.10  208.770 0.13712E+03
Z,T,P    14.67  208.379 0.12492E+03
Z,T,P    15.23  208.112 0.11380E+03
Z,T,P    15.79  207.989 0.10367E+03
Z,T,P    16.36  208.010 0.94447E+02
Z,T,P    16.92  208.157 0.86042E+02
Z,T,P    17.49  208.417 0.78384E+02
Z,T,P    18.05  208.774 0.71409E+02
Z,T,P    18.62  209.225 0.65054E+02
Z,T,P    19.19  209.768 0.59264E+02
Z,T,P    19.76  210.400 0.53990E+02
Z,T,P    20.33  211.119 0.49185E+02
Z,T,P    20.90  211.934 0.44808E+02
Z,T,P    21.48  212.848 0.40821E+02
Z,T,P    22.06  213.869 0.37188E+02
Z,T,P    22.64  215.013 0.33878E+02
Z,T,P    23.22  216.288 0.30863E+02
Z,T,P    23.81  217.678 0.28117E+02
Z,T,P    24.40  219.155 0.25614E+02
Z,T,P    25.00  220.699 0.23335E+02
Z,T,P    25.60  222.280 0.21258E+02
Z,T,P    26.21  223.844 0.19366E+02
Z,T,P    26.81  225.344 0.17643E+02
Z,T,P    27.43  226.756 0.16073E+02
Z,T,P    28.04  228.074 0.14642E+02
Z,T,P    28.66  229.297 0.13339E+02
Z,T,P    29.29  230.428 0.12152E+02
Z,T,P    29.91  231.525 0.11071E+02
Z,T,P    30.54  232.698 0.10086E+02
Z,T,P    31.18  234.009 0.91880E+01
Z,T,P    31.81  235.411 0.83703E+01
Z,T,P    32.45  236.849 0.76254E+01
Z,T,P    33.10  238.323 0.69468E+01
Z,T,P    33.74  239.847 0.63285E+01
Z,T,P    34.40  241.423 0.57653E+01
Z,T,P    35.05  243.041 0.52523E+01
Z,T,P    35.71  244.692 0.47848E+01
Z,T,P    36.38  246.379 0.43590E+01
Z,T,P    37.05  248.112 0.39711E+01
Z,T,P    37.73  249.898 0.36177E+01
Z,T,P    38.41  251.745 0.32957E+01
Z,T,P    39.09  253.667 0.30024E+01
Z,T,P    39.78  255.676 0.27352E+01
Z,T,P    40.48  257.756 0.24918E+01
Z,T,P    41.18  259.857 0.22701E+01
Z,T,P    41.89  261.937 0.20680E+01
Z,T,P    42.60  263.917 0.18840E+01
Z,T,P    43.32  265.679 0.17163E+01
Z,T,P    44.04  267.194 0.15636E+01
Z,T,P    44.77  268.450 0.14244E+01
Z,T,P    45.50  269.389 0.12977E+01
Z,T,P    46.23  270.001 0.11822E+01
Z,T,P    46.96  270.341 0.10770E+01
Z,T,P    47.69  270.491 0.98114E+00
Z,T,P    48.43  270.461 0.89382E+00
Z,T,P    49.16  270.198 0.81428E+00
Z,T,P    49.89  269.687 0.74181E+00
Z,T,P    50.62  268.961 0.67579E+00
Z,T,P    51.35  268.052 0.61565E+00
Z,T,P    52.07  266.980 0.56086E+00
Z,T,P    52.80  265.722 0.51095E+00
Z,T,P    53.51  264.277 0.46548E+00
Z,T,P    54.23  262.663 0.42405E+00
Z,T,P    54.94  260.839 0.38632E+00
Z,T,P    55.64  258.819 0.35194E+00
Z,T,P    56.34  256.632 0.32062E+00
Z,T,P    57.03  254.258 0.29208E+00
Z,T,P    57.72  251.665 0.26609E+00
Z,T,P    58.40  248.846 0.24241E+00
Z,T,P    59.07  245.821 0.22084E+00
Z,T,P    59.73  242.592 0.20118E+00
Z,T,P    60.38  239.168 0.18328E+00
Z,T,P    61.03  235.569 0.16697E+00
Z,T,P    61.66  231.804 0.15211E+00
Z,T,P    62.29  227.792 0.13857E+00
Z,T,P    62.90  223.181 0.12624E+00
Z,T,P    63.49  217.807 0.11501E+00
Z,T,P    64.08  212.087 0.10477E+00
